current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,gross_profit,prev_gross_profit,roe,debt_ratio,opm,year,depreciation
49621537878,29620327745,2968349787,12559216818,9188588588,439138472,6866470921,3491412523,89550609030,15000874080,9186497658,0,29490285375,-51440653631,60060323655,16655491627,1788474514,12463621067,690920754,6551687733,2145968479,-10172813657.0,-8048858624.0,-15360907850,-14724669419,-13038914847,-20153249512,-1800000000.0,4191870560,1097553760,,,,2016,
45209086607,49621537878,8622873067,15528442753,12559216818,936136152,7845802595,6866470921,82238442380,17640061284,15000874080,6703559816,32773446686,-64288926292,49464995694,22056557550,16655491627,15336426650,12463621067,7298892595,6551687733,-9842081174.0,-10172813657.0,-13497962841,-12933665235,-8213201731,11894038633,0.0,6720130900,4191870560,,,,2017,
93378850696,45209086607,10221422881,17667222883,15528442753,754702100,10274659524,7845802595,121686283747,9945687495,17640061284,0,16391554703,-90294405224,105294729044,25240301764,22056557550,19331863208,15336426650,6381191880,7298892595,-15977963887.0,-9842081174.0,-26426772928,-26072682686,-12758192506,-50584646931,0.0,5908438556,6720130900,,,,2018,
111419272490,93378850696,66888373396,11119771887,17667222883,2021372416,12143892423,10274659524,141477453081,15423972628,9945687495,0,25568107367,-78811545647,115909345714,57500138690,25240301764,22689053824,19331863208,9683030217,6381191880,8416841998.0,-15977963887.0,13101518704,12475507793,24113461209,29971498846,,34811084866,5908438556,,,,2019,
191618909904,228950581545,117964960451,12780028983,22456843845,198819460,26492021865,24431533340,252530449549,28602844482,17018029722,9147000000,32931523513,105382609099,219598926036,33412042600,32157006379,15563353041,14459449166,7304433279,6455094653,-50375099038.0,-27706660419.0,-47722617786,-45091793579,-7135573296,-16169444137,2700000000.0,17848689559,17697557213,,,,2022,9809657785.0
134618752842,191618909904,63053955233,14808515788,12780028983,196834393,25424322677,26492021865,189502178859,37071716407,28602844482,0,189502178859,30739756530,148221267204,391974451,444716483,16348326301,15563353041,13989444611,7304433279,-80822342649.0,-50375099038.0,-2042987606,-73703570475,-62235789517,9367174530,11847000000.0,-15956351850,-15118636558,,,,2023,5021444116.0
550261759025,134618752842,128912155244,13716911563,14808515788,212466344,25312725670,25424322677,738382908190,117182806549,37071716407,0,738382908190,36331390978,615998105853,153549216,391974451,15949876439,16348326301,21065103394,13989444611,-20913487724.0,-80822342649.0,-1324966812,7800099578,78476380652,-457373611777,0.0,-15796327223,-15956351850,,,,2024,3389347135.0
521442070048,550261759025,98649999024,11756233858,13716911563,110044013,27711239168,25312725670,701814921209,61092239491,117182806549,0,160694609940,211805644001,541120311269,200412490,153549216,15557406784,15949876439,16423985577,21065103394,,,-2338128861,-91552141111,-124532936677,94141310077,0.0,-15356994294,-15796327223,,,,2025,850539954.0
