Date,Close,Volume,Open,High,Low
2025-05-23,93.14704895019533,16545000,,,
2025-05-27,96.1498565673828,17612600,,,
2025-05-28,95.95032501220705,10500300,,,
2025-05-29,96.56884765625,14628700,,,
2025-05-30,94.23442840576172,23758200,,,
2025-06-02,97.94554901123048,16850300,,,
2025-06-03,102.00582885742188,22757600,,,
2025-06-04,103.00344848632812,14595900,,,
2025-06-05,106.03618621826172,28833700,,,
2025-06-06,108.30077362060548,20710100,,,
2025-06-09,110.68505859375,20159700,,,
2025-06-10,113.86743927001952,22949400,,,
2025-06-11,115.75292205810548,21614100,,,
2025-06-12,115.90257263183594,17076500,,,
2025-06-13,115.3239517211914,17453000,,,
2025-06-16,119.55382537841795,21374100,,,
2025-06-17,120.05262756347656,20837700,,,
2025-06-18,121.5290985107422,20180000,,,
2025-06-20,123.30485534667967,29290400,,,
2025-06-23,121.78848266601562,23399200,,,
2025-06-24,127.60456085205078,26420600,,,
2025-06-25,126.94613647460938,39407000,,,
2025-06-26,125.6991195678711,62678100,,,
2025-06-27,124.46208953857422,36888600,,,
2025-06-30,122.95569610595705,22799700,,,
2025-07-01,120.601318359375,24825800,,,
2025-07-02,121.44929504394533,29303800,,,
2025-07-03,121.99797821044922,13247900,,,
2025-07-07,119.74625396728516,19148400,,,
2025-07-08,124.23973083496094,26238200,,,
2025-07-09,122.0628890991211,20464000,,,
2025-07-10,122.93162536621094,15378400,,,
2025-07-11,124.34957122802734,15820600,,,
2025-07-14,118.43814849853516,32117700,,,
2025-07-15,119.93597412109376,24958900,,,
2025-07-16,116.26129913330078,30614800,,,
2025-07-17,113.0959014892578,34702400,,,
2025-07-18,114.22425842285156,19349900,,,
2025-07-21,113.06594848632812,22189800,,,
2025-07-22,109.06175994873048,27917600,,,
2025-07-23,109.67086791992188,17810000,,,
2025-07-24,111.56812286376952,20293100,,,
2025-07-25,111.09880065917967,16372300,,,
2025-07-28,111.08880615234376,12932300,,,
2025-07-29,111.79778289794922,16653300,,,
2025-07-30,114.5737533569336,16378800,,,
2025-07-31,108.98186492919922,29224300,,,
2025-08-01,104.72803497314452,24003300,,,
2025-08-04,107.61384582519533,14780600,,,
2025-08-05,108.90198516845705,17836000,,,
2025-08-06,108.62239074707033,13021900,,,
2025-08-07,111.7079086303711,18986500,,,
2025-08-08,118.71773529052734,28962200,,,
2025-08-11,123.5407485961914,35065800,,,
2025-08-12,127.56490325927734,25961200,,,
2025-08-13,124.0899429321289,18438200,,,
2025-08-14,125.10846710205078,12235900,,,
2025-08-15,120.6948699951172,18986700,,,
2025-08-18,123.3709945678711,12208800,,,
2025-08-19,121.87316131591795,11491200,,,
2025-08-20,117.04017639160156,25795000,,,
2025-08-21,115.62223815917967,13174900,,,
2025-08-22,117.5094985961914,17038300,,,
2025-08-25,116.2513198852539,8674800,,,
2025-08-26,116.33120727539062,12584300,,,
2025-08-27,117.5793914794922,15349300,,,
2025-08-28,121.82323455810548,17295500,,,
2025-08-29,118.83757019042967,16774000,,,
2025-09-02,118.30834197998048,13771900,,,
2025-09-03,118.54798126220705,14101300,,,
2025-09-04,124.03003692626952,18589100,,,
2025-09-05,131.1796417236328,28416000,,,
2025-09-08,131.26953125,19492600,,,
2025-09-09,135.04405212402344,20705000,,,
2025-09-10,139.79714965820312,25791300,,,
2025-09-11,150.3518524169922,52446400,,,
2025-09-12,157.002197265625,32288300,,,
2025-09-15,157.54141235351562,20101400,,,
2025-09-16,158.5898895263672,16911600,,,
2025-09-17,159.75820922851562,18843600,,,
2025-09-18,168.64529418945312,28212800,,,
2025-09-19,162.4942169189453,37309900,,,
2025-09-22,164.3814697265625,25851200,,,
2025-09-23,166.1688995361328,43316500,,,
2025-09-24,161.47569274902344,57096400,,,
2025-09-25,156.602783203125,32209200,,,
2025-09-26,157.0421142578125,24045000,,,
2025-09-29,163.6625213623047,26506500,,,
2025-09-30,167.07757568359375,20092500,,,
2025-10-01,181.8860626220703,41674800,,,
2025-10-02,183.48374938964844,25122200,,,
