current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,long_term_debt,roe,debt_ratio,opm,year
9736512654771,9549473789179,2356328903075,4996915667256,4748788878719,825250796366,978072066783,1338530756222,13376589310291,7224983499459,7139321408218,10023424374617,2504196068751,13376589310291,11035596402664,10572620348180,10547356619018,10025035483206,488239783646,547584864974,345262011697,425517371950,142977771949,122067493024,21345511377,-20431464417,81209580341,-248719141717,-49600091.0,,,,2016
9582340456712,9736512654771,2442298345368,4763280007248,4996915667256,1090697679575,897519288687,978072066783,13696614623700,8581252537034,7224983499459,10456899426805,2334346467766,3239715196895,11679456006382,11035596402664,10876113911216,10547356619018,803342095166,488239783646,484672669981,345262011697,318669425185,142977771949,-160742451956,-163676081910,-205488511524,13504526100,0.0,,,,2017
7828165281170,9582340456712,1592619145823,4297384976431,4763280007248,1034194955187,841048334557,897519288687,12033275312727,6359727442301,8581252537034,8408589418656,2487073069949,3624685894071,13139372923261,11679456006382,11511807548164,10876113911216,1627565375097,803342095166,563076198012,484672669981,1064489177085,318669425185,835049063708,587434395163,1032946850397,-234761909767,0.0,,,,2018
7328856814743,7828165281170,1792956491853,3505180381682,4297384976431,875113715855,1176031564913,841048334557,13171205734337,5800889904080,6359727442301,9028178350231,2827362528864,4143027384106,10416589201821,13139372923261,9018721377045,11511807548164,1397867824776,1627565375097,630601135699,563076198012,767266689077,1064489177085,673734304309,447479242607,759268850595,-747618076205,19071021285.0,,,,2019
7251909747441,7328856814743,2118919172303,1957064769260,2407744404995,1430061358185,1426773671414,1176031564913,13770677888907,5728861799197,5800889904080,9458561906485,3076109658713,4312115982422,10122930837450,10416589201821,8587843235436,9018721377045,1535087602014,1397867824776,784689756129,630601135699,750397845885,767266689077,518439870868,329675683016,553879345019,-268985594434,16384681783.0,,,,2020
8195112429919,7251909747441,2718389661828,2200131943770,1957064769260,1477099762528,1543377019012,1426773671414,15183727264768,6769327249756,5728861799197,10311003421948,3405713008855,4872723842820,9036575422803,10122930837450,7685818782145,8587843235436,1350756640658,1535087602014,704271101323,784689756129,646485539335,750397845885,657929791442,428803249577,1107469329126,-531186575931,150109096157.0,,,,2021
9411595104509,8195112429919,2023700610060,3251678885915,2200131943770,1499922465331,1819806154559,1543377019012,16946616696898,8205470645448,6769327249756,11590413888307,3659818016872,5356202808591,12299196214752,9036575422803,11012589646403,7685818782145,1286606568349,1350756640658,731771737834,704271101323,554834830515,646485539335,664897622799,441211560543,-7296047422,-1311172971952,0.0,,,,2022
9482031400336,9411595104509,2244924955931,3529002890225,3251678885915,1338666208609,2256205699263,1819806154559,17707298538013,8796223078467,8205470645448,17707298538013,3046354212471,4885159860812,331941016751,454311347459,13174490950442,11012589646403,262193954029,1286606568349,650139355100,731771737834,-387945401071,554834830515,-97985984881,-419500544880,469798620792,-763060089903,0.0,,,,2023
8666549605548,9482031400336,2083024788853,1961792557306,1374647832737,1280005616400,2638612316878,2256205699263,17803293924556,9031905115658,8796223078467,17803293924556,3266496166354,5087123959443,788737313725,331941016751,11749631629524,13174490950442,1114179838862,262193954029,828225503075,650139355100,285954335787,-387945401071,177576106268,263924031753,267812354593,-548920682867,,,,,2024
9074153000000,8666551000000,3015810000000,1864917000000,1961793000000,1163292000000,1625949000000,2638612000000,18459842000000,7832139000000,9031905000000,18459842000000,3342093000000,5523557000000,272677000000,788737000000,11105283000000,11749631000000,1345064000000,1114180000000,907255000000,828226000000,437809000000,285954000000,53917000000,93423000000,591530000000,-246980000000,,,,,2025
