current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,short_term_debt
748256761463,482627833915,44011633396,154453164871,2282397656037,2095274064678,4721361656921,1218576666236,875687409973,243005156031,2363836827061,1757516435078,2357524829860,6015117323057,5034118116241,1386888394639,1239024023455,1168829721108,1013230519755,218058673531,225793503700,236389132607,27245303803,364572666122,273539184683,434503795819,7774446344,,,,2016,,,
742986070615,748256761463,90707007466,230609661551,2392578858744,2282397656037,5092274321040,1795597719876,1218576666236,722129560793,2698930353477,1801704976252,2393343967563,6707255114319,6015117323057,1559312033362,1386888394639,1393598389400,1168829721108,165713643962,218058673531,8266567147681,7402005717696,189155165400,115101857483,442233686482,-423341510675,,,,2017,372350633974.0,507482649782.0,
709522056857,742986070615,61747684288,224587647068,2346547058725,2392578858744,5098880172660,1720407509900,1795597719876,791685120000,2640531613192,1859824360563,2458348559468,6852864326902,6707255114319,1838747986131,1559312033362,1659678326182,1392744814844,180259204265,165713643962,8691612313033,8266567147681,179547295491,132335836633,324777732035,-384884699958,,,,2018,348494542723.0,372350633974.0,
800433640587,709522056857,57748168658,183353602512,2296899538248,2346547058725,7054847638519,1777083793161,1720407509900,475405101395,4504006759724,1952311087025,2550840878795,7064845658423,6852864326902,1942083134576,1838747986131,1695136678854,1659678326182,238835955920,180259204265,9006928792999,8691612313033,199839393215,143624028195,804329097136,-301117418988,,,,2019,420558316723.0,348494542723.0,1792720000000.0
923271551810,800433640587,36848067902,188692433449,2298889241913,2296899538248,7177767175769,1682198174408,1777083793161,314785200000,4510588585251,2083251783071,2667178590518,7031023135792,7064845658423,1831295803615,1942083134576,1578272578986,1695136678854,252567215539,238835955920,8862318939407,9006928792999,200881259434,154521822927,805979740330,-390521128286,,,,2020,397944913374.0,420558316723.0,874890000000.0
1183932817746,923271551810,91361921043,193041259840,2734686907003,2298889241913,9455972982478,2055199218764,1682198174408,315968438505,5041586937987,2853131621688,4414386044491,7539431639871,7031023135792,2226263693966,1831295803615,2017217667398,1578272578986,208469084873,252567215539,9765695333837,8862318939407,900178986677,801275553361,714852180204,-277414027647,,,,2021,627333998951.0,397944913374.0,144502000000.0
1366113278315,1183932817746,390477299341,226961885215,2767448370922,2734686907003,9832423124845,2173617697970,2055199218764,379947653597,5412417744683,2809103996985,4420005380162,8356974558022,7493512996056,2869453965536,2197146326329,2623216610179,1976875424432,245131973064,219542226098,11226428523558,9690659322385,75063718353,47609804762,712510440356,19816707654,,,,2022,566158831666.0,627333998951.0,384934000000.0
1857061602047,1366113278315,431765530031,304289486946,2831190603198,2767448370922,10042015942614,2664089238772,2173617697970,639550006005,10042015942614,2773098762934,4433739107731,8652523850901,8199599500461,2960024069837,2832293205497,2546234848046,2471001120820,393955339623,360186160964,11612547920738,11031892705958,64248095581,22147526377,894054386337,-356911549891,,,,2023,,,835781000000.0
1481155501474,1857061602047,93288757377,307139311512,1542035824585,2831190603198,7581643378910,1898445971005,2688038587238,275821880552,7581643378910,2713868885782,3181518137325,8740044457837,8297382525249,2886875817076,2836766831669,2625024199498,2525166711740,239104876913,291782269134,11626920274913,11134149356918,41290446688,9791708542,660183401064,-352201270431,,,,2024,,,
1797888273557,1481155501474,294440001357,337348027053,1428763697921,1542035824585,7483097413933,1995790785137,1898445971005,320732309034,7483097413933,2757085900254,3276094767814,9045758844606,8700201294706,2911662844231,2879228413332,2621586091419,2600307525206,292119604403,256126253194,11957421688837,11579429708038,28550949476,50239032621,938584394003,-78285980461,,,,2025,,,
