date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-02-19,0.0,0,0.0
2026-02-20,0.616,1,0.808
2026-02-23,0.0,0,0.0
2026-02-24,0.0,0,0.0
2026-02-25,0.944,0,0.472
2026-02-26,0.0,0,0.0
2026-02-27,0.0,0,0.0
2026-03-03,1.115,0,0.558
2026-03-04,1.515,0,0.758
2026-03-05,0.0,0,0.0
2026-03-06,0.0,0,0.0
2026-03-09,0.556,0,0.278
2026-03-10,0.0,0,0.0
2026-03-11,1.04,0,0.52
2026-03-12,1.782,0,0.891
2026-03-13,0.659,0,0.33
2026-03-16,0.0,0,0.0
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,0.922,0,0.461
2026-03-20,0.0,0,0.0
2026-03-23,0.591,0,0.296
2026-03-24,0.0,0,0.0
2026-03-25,0.0,0,0.0
2026-03-26,1.093,0,0.546
2026-03-27,0.0,0,0.0
2026-03-30,0.954,0,0.477
2026-03-31,0.988,0,0.494
2026-04-01,0.0,0,0.0
2026-04-02,1.01,0,0.505
2026-04-03,0.0,0,0.0
2026-04-06,0.551,0,0.276
2026-04-07,0.0,0,0.0
2026-04-08,0.0,0,0.0
2026-04-09,0.0,0,0.0
2026-04-10,0.0,0,0.0
2026-04-13,0.0,0,0.0
2026-04-14,1.046,0,0.523
2026-04-15,0.0,0,0.0
2026-04-16,0.0,0,0.0
2026-04-17,0.0,0,0.0
2026-04-20,0.0,0,0.0
2026-04-21,1.507,0,0.754
2026-04-22,0.0,0,0.0
2026-04-23,0.831,0,0.416
2026-04-24,0.0,0,0.0
2026-04-27,0.0,0,0.0
2026-04-28,0.0,0,0.0
2026-04-29,0.0,0,0.0
2026-04-30,1.466,0,0.733
2026-05-04,0.0,0,0.0
2026-05-06,1.5,0,0.75
2026-05-07,0.0,0,0.0
2026-05-08,0.0,0,0.0
2026-05-11,0.0,0,0.0
2026-05-12,0.786,0,0.393
2026-05-13,0.0,0,0.0
2026-05-14,0.0,0,0.0
2026-05-15,1.027,0,0.514
2026-05-18,0.685,0,0.342
2026-05-19,0.0,0,0.0
