current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year
,,588312155425,211733105726,,,,,,9162368431781,,,,,3195442999478,4440028114654,5966925432303,3490487870757,3414387967077,,,,,,,,,,152961873663.0,431135088290,,201639280553,-497998620723,,,,2016
,,380048384854,443348282559,,,,,,9543776838218,,,,,3677520039826,5557251855278,5866256798392,3863990044651,3490487870757,,,,,,,,,,42299633566.0,332894207480,,220584084175,-658521533877,,,,2017
,,337235223877,800311047566,,,,,,8965418419357,,,,,3224071784111,5444673735147,5741346635246,3782162955964,3863990044651,,,,,,,243524364576.0,329834971200.0,,-23103553364.0,538975696847,,248048366478,-50268279164,,,,2018
,,214364777780,638485534852,,,,,,9382221503013,,,,,4928994646675,5132070632881,4453226856338,2719563984151,3081030078878,,,,,,,133209522238.0,200863854814.0,,4021635059.0,274779646909,,231383147375,-716319242989,,,,2019
,,492511997839,904435355205,,,,,,12347572328146,,,,,7101577326376,5666710138208,5245995001770,5083631492987,2719563984151,,,,,,,133845504026.0,133209522238.0,,560873030681.0,679854398097,,359278397820,-2403055694,,,,2020
,,541200616648,604744648838,,,,,,12878863208936,,,,,7502796337015,4678412511459,5376066871921,5874899292339,5083631492987,,,,,,,388769767968.0,133845504026.0,,-53211168479.0,424043437081,,346749844985,-237295139063,,,,2021
,,776747673687,408423843767,,,,,,13118486307658,,,,,7567347802320,4798402756746,5551138505338,6774793651227,5874899292339,,,,,,,467661528938.0,388769767968.0,,28661656966.0,384566370763,,362623045355,36085166236,,,,2022
,,1045142107132,509868880834,,,,,,13353471078397,,,,,13353471078397,4902440148479,5447529409519,6288442613717,6774793651227,,,,,,,312530203929.0,467661528938.0,,,788266331197,,5404934202,-355341156446,,,,2023
,,501329763430,510145132540,,,,,,13108550142754,,,,,8069234736205,5166037148884,5039315406549,6658762417820,6288442613717,,,,,,,471118235184.0,312530203929.0,,293294512467.0,596801288316,,617507963,281537329930,,,,2024
,,1193612441434,36838546215,,,,,,16803559405446,,,,,8979073673040,6926378111068,7824485732406,6483819486096,6658762417820,,,,,,,427615116299.0,471118235184.0,,1538496275573.0,789477482258,,2026287153,269382955582,,,,2025
