total_assets,current_assets,prev_current_assets,accounts_receivable,prev_accounts_receivable,inventory,cash,short_term_investments,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,operating_income,prev_operating_income,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,revenue,prev_revenue,capex,cash_from_operations,depreciation,interest_expense,roe,debt_ratio,opm,year,long_term_debt
57797993647,21600669961,13949499136,1723074697,1831964371,1620999836,17909050983,0,1422970453,613685309,52883455236,-45466488773.0,57797993647,2716567570,2834783378,-10557074113,-11421000114,14382364473,16153610845,2962620576,2504367089,3825290360,4732610731,-169261232,-10041722918,6787910936,7236977820,2898442670,-8164182261,17286329,25698722,,,,2023,
70560573877,32266788286,21600669961,557321218,1723074697,1790703927,24187624890,4000000000,1360621009,1422970453,48637481889,,70560573877,19917655431,2716567570,-13377807751,-10557074113,15936579243,14382364473,2028865031,2962620576,2558771492,3825290360,93672669,-8089494005,4587636523,6787910936,-4274688617,-9698164657,2143143,702027088,,,,2024,7398392500.0
78027492351,40154701308,32266788286,1844541862,557321218,1685283277,14785429134,3000000000,1155725689,1360621009,52809558817,,78027492351,23377396537,19917655431,-12314428922,-13377807751,14449746533,15936579243,3016230826,2028865031,2135317611,2558771492,-154371743,-27177567437,5151548437,4587636523,919772437,-11109195641,25719342,1189312004,,,,2025,1841323287.0
