timestamp,bid_price_1,ask_price_1,bid_total,ask_total,imbalance_ratio,note
2026-03-10 09:44:33,0,0,0,0,1.0,no_orderbook_api
2026-03-10 10:02:44,0,0,0,0,1.0,no_orderbook_api
2026-03-10 10:45:25,0,0,0,0,1.0,no_orderbook_api
2026-03-10 11:21:49,0,0,0,0,1.0,no_orderbook_api
2026-03-10 11:31:04,0,0,0,0,1.0,no_orderbook_api
2026-03-10 12:11:21,0,0,0,0,1.0,no_orderbook_api
2026-03-10 12:49:34,0,0,0,0,1.0,no_orderbook_api
2026-03-10 13:23:23,0,0,0,0,1.0,no_orderbook_api
2026-03-10 14:10:21,0,0,0,0,1.0,no_orderbook_api
2026-03-10 14:41:44,0,0,0,0,1.0,no_orderbook_api
