current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,short_term_investments,roe,debt_ratio,opm,year
,,173708876000,,,,,,8288782432000.0,,,,,5785130162000.0,1524830703000,2503652270000,16492090197000,17526906326000,,,,,,,,,,122212627000,792824746000,30751780000.0,,-182838891000,-8507847000,,,,2016
,,178489883000,,,,,,9169985984000.0,,,,,6317509903000.0,1644385386000,2852476081000,22571653747000,16492090197000,,,,,,,,,,166818739000,382240120000,62043157000.0,,-231602677000,33457326000,,,,2017
,,201467875000,,,,,,9881020333000.0,,,,,6991481795000.0,1732277236000,2889538538000,25173939721000,22571653747000,,,,,,,,,,115741119000,-146126015000,93971355000.0,,-95796336000,-8311925000,,,,2018
,,236088955000,,,,,,8959415088000.0,,,,,5911354252000.0,1857505792000,3048060836000,24422574846000,25173939721000,,,,,,,,,,202398051000,1608967559000,80059496000.0,,-112463954000,-7586947000,,,,2019
,,679304336000,,,,,,8328038736000.0,,,,,5167165003000.0,2008233238000,3160873733000,21472386358000,24422574846000,,,,,,,,,,229524209000,1118609455000,83767951000.0,,-109536756000,2140745000,,,,2020
,,521159587000,,,,,,10770734147000.0,,,,,7258594219000.0,2292516611000,3512139928000,33948864785000,21472386358000,,,,,,,,,,356487962000,-509688025000,91226517000.0,,-352220905000,0,,,,2021
,,1297706346000,,,,,,12516336931000.0,,,,,8118209853000.0,2808104678000,4398127078000,37989588330000,33948864785000,,,,,,,,,,604912380000,1233286799000,104375318000.0,,-1465682055000,42285763000,,,,2022
,,1136862750000,,,,,,16617748008000.0,,,,,16617748008000.0,3336680288000,6624761980000,33132821374000,37989588330000,,,,,,,,,,680419303000,1076435727000,,,-27127858000,155816474000,,,,2023
,,1057204161000,,,,,,,,,,,,3635149108000,7349462921000,32340793124000,33132821374000,,,,,,,1116921237000.0,1163112035000.0,,503409725000,876881370000,,,-846137756000,496160183000,,,,2024
,,1171465925000,,,,,,,,,,,,3835664558000,7812655175000,32373603908000,32260990294000,,,,,,,1165316105000.0,1157835223000.0,,636802406000,1941539030000,,,-1329738466000,238040472000,,,,2025
