year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,139524243361,275564427840,2825136012824,3110157574663,139524243361,2825136012824,-0.0916,-0.4937,0.0,-0.4968,-1.0
2021,Q4,58259436460,139524243361,2562283675152,2825136012824,58259436460,2562283675152,-0.093,-0.5824,0.0,-0.5381,-1.0
2022,Q4,141617667318,58259436460,2786888282702,2562283675152,141617667318,2786888282702,0.0877,1.4308,0.0,0.741,1.0
2023,Q4,247510483155,141617667318,3819344382446,2786888282702,247510483155,3819344382446,0.3705,0.7477,0.0,0.5993,1.0
2024,Q1,48011991363.0,0,739922390124.0,0.0,48011991363.0,739922390124.0,0,48011991363.0,0.0,0.0,0.0
2024,Q2,74295976832.0,0,891809660832.0,0.0,74295976832.0,891809660832.0,0,74295976832.0,0.0,0.0,0.0
2024,Q3,76279139685.0,0,907208791321.0,0.0,76279139685.0,907208791321.0,0,76279139685.0,0.0,0.0,0.0
2024,Q4,240718310400,247510483155,3633742105840,3819344382446,240718310400,3633742105840,-0.0486,-0.0274,0.0,-0.052,-1.0
2025,Q1,46812915045.0,0,699256592260.0,0.0,46812915045.0,699256592260.0,0,46812915045.0,0.0,0.0,0.0
2025,Q2,85215939637.0,0,828336336027.0,0.0,85215939637.0,828336336027.0,0,85215939637.0,0.0,0.0,0.0
2025,Q3,60191688727.0,0,702116311024.0,0.0,60191688727.0,702116311024.0,0,60191688727.0,0.0,0.0,0.0
2025,Q4,269190196660,240718310400,3696379351601,3633742105840,269190196660,3696379351601,0.0172,0.1183,0.0,0.1913,1.0
