current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,363649589000,573340000.0,,,,,,6326067005000,,,,,2974228966000,654744210000,3351838039000,3949929034000,4040752214000,,,,,,,,,,180330702000,326934342000,-90068878000,,,,2016
,,416822314000,0.0,,,,,,6183836996000,,,,,2756294306000,769505666000,3427542690000,3389208791000,3287285077000,,,,,,,256241569000.0,173503957000.0,,256241569000,376608125000,-114744998000,,,,2017
,,547270887000,0.0,,,,,,6446324313000,,,,,2706721225000,999113179000,3739603088000,3970765995000,3389208791000,,,,,,,0.0,17516755000.0,,264497169000,616576546000,-67937283000,,,,2018
,,212443157000,,,,,,,6704236324000,,,,,2725170048000,1389586309000,3979066276000,4509550099000,3970765995000,,,,,,,272115865000.0,264497169000.0,,272115865000,485692857000,-345919961000,,,,2019
,,782203263000,14999999000.0,,,,,,6960607794000,,,,,2886803303000,1460968835000,4073804491000,4282057647000,4509550099000,,,,,,,,,,247453634000,565341719000,-238919489000,,,,2020
,,951759865000,19718570000.0,,,,,,8580899465000,,,,,4259633657000,2046719136000,4321265808000,5816199969000,4282057647000,,,,,,,,,,385888628000,460039949000,-862062335000,,,,2021
,,699004946000,6820088000.0,,,,,,9248386178000,,,,,4223998511000,2743029381000,5024387667000,8621911872000,5816199969000,,,,,,,1071606774000.0,595338266000.0,,644056037000,704002169000,-122603408000,,,,2022
,,1085800576,5041104.0,,,,,,8043860515,,,,,8043860515,3523104468,4618281799,7475740778,6673564667,,,,,,,1064722975.0,829449107.0,,705892351,992643275,-192904230,,,,2023
,,1263123000,4896000.0,,,,,,8169804000,,,,,3479665000,3819573000,4690139000,6269305000,7475741000,,,,,,,638867000.0,1064723000.0,,413029000,533144000,-423700000,,,,2024
,,1389744000,5896000.0,,,,,,8558454000,,,,,3546871000,3831649000,5011583000,6181806000,6269305000,,,,,,,482437000.0,638867000.0,,282899000,822394000,-238590000,,,,2025
