current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
,,1726231781291,1243188526333,,,,6370635180592,,,,,2241036317652,3810189403596,4129598862940,,,1102040475792,830224960874,,759072951187,1164024257897,10858609434.0,,-941712566991,,,,2016,,
,,1907575060667,1333889498274,,,,8019251559914,,,,,2714065324965,4555517868323,5305186234949,4678468928032.0,4022629619982.0,775433640876,761140055404,,770101670207,939981997688,3623071493.0,,-1310331331653,,,,2017,,
,,3322884102567,444702261235,,,,9881190909324,,,,,3932050396031,5229202813045,5949140513293,,,643826906430,775433640876,,627901873332,973506368153,,,-388286947217,,,,2018,,
,,3740513761418,289910618872,,,,12299527120786,,,,,5795601052206,5712091453142,6503926068580,,,586641122833,643826906430,,396821062465,1356843480419,,,-1078128842424,,,,2019,,
,,1600304349922,291292142737,,,,17014238663770,,,,,8759106628557,6654814483478,8255132035213,,,1144888651236,934306914911,,844996977149,1447212217640,,,-2503202276036,,,,2020,,
,,2781395543827,673555739311,,,,33691006757040,,,,,9663630407765,23080407824978,24027376349275,,,1325478171117,1215342457273,,16477625559645,1379905728836,,,-13998804731074,,,,2021,,
,,2724168321708,1216410034221,,,,33899042889136,,,,,10448720408685,23645687007296,23450322480451,,,1304664410543,1325478171117,,673180300087,1453390444990,,,-1215888095959,,,,2022,,
,,3576456533329,808248060681,,,,35737826964395,,,,,35737826964395,24544359050688,24237998815553,,,1488820269608,1304664410543,,985017762493,2002233273518,,,-949822085262,,,,2023,,
,,4195524637851,2859768247306,,,,38167876036020,,,,,38167876036020,25964961560851,27000911848337,,,1979263438827,1488820269608,,1931976372953,2589874337746,,,-1340024321675,,,,2024,,
,,5984018799741,2336927834770,,,,41084496327318,,,,,41084496327318,27625675371074,28953013365595,,,2208138388720,1979263438827,,1818746310015,3095806604677,,,-743677268012,,,,2025,,
