current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga,long_term_debt,short_term_debt
,,767438000000,,,,,,13959027000000,,,7567442000000,4745406000000,6391585000000,16321843000000,17890272000000,,,,,,,,1205364000000,1721991000000,-1966919000000,,,,2016,,,,
,,480052000000,,,,,,15087451000000,,,8244831000000,5198132000000,6842620000000,20891374000000,16321843000000,,,,,,,,1246489000000,1143294000000,-832240000000,,,,2017,,,,
,,664506000000,,,,,,15955044000000,,,9485810000000,4823057000000,6469234000000,25463295000000,20891374000000,,,,,,,,258035000000,-288185000000,-415203000000,,,,2018,,,,
,,291005000000,,,,,,16333401000000,,,9836775000000,4848171000000,6496626000000,24394173000000,25463295000000,,,,,,,,65429000000,679447000000,-1069455000000,,,,2019,,,,
,,737439000000,,,,,,15690510000000,,,10008033000000,4035707000000,5682477000000,16829681000000,24394173000000,,,,,,,,-796108000000,1630972000000,-635596000000,,,,2020,,,,
,,1945526000000,,,,,,18693235000000,,,11705193000000,5333742000000,6988042000000,27463918000000,16829681000000,,,,,,,,1378541000000,1477165000000,196582000000,,,,2021,,,,
,,1310326000000,,,,,,19613135000000,,,11129666000000,6828520000000,8483469000000,42446028000000,27463918000000,,,,,,,,2104387000000,1278921000000,-773199000000,,,,2022,,,,
,,1963279000000,,,,,,21576123000000,,,12538558000000,7379599000000,9037565000000,35726694000000,42446028000000,,,,,1354582000000.0,3405166000000.0,,948848000000,2525709000000,-2066131000000,,,,2023,,,,
,,1945837000000,,,,,,24451433000000,,,15755786000000,7030470000000,8695647000000,36637031000000,35726694000000,,,,,422177000000.0,1354582000000.0,,-193042000000,1467583000000,-3027046000000,,,,2024,,,,
,,1834658000000,,,,,,26556957000000,,,17669556000000,7221564000000,8887401000000,34246957000000,36637031000000,,,,,,,,176952000000,3942304000000,-3782661000000,,,,2025,,,,
