total_assets,current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,operating_income,prev_operating_income,revenue,prev_revenue,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,capex,cash_from_operations,roe,debt_ratio,opm,year
136108165193,128308613752,73534860990,54002975233,20122916470,13723974731,47899634179,1129526656,481194953,102069072470,25802142837,136108165193,31320324507,56037891135,59844712688,32445933395,358093690,266329047,174531807413,114417530686,74686096056,53939006079,234376520101,146863464081,13655896758,15408977423,-1790713542,15809001299,,,,2024
255334642397,239109582847,128308613752,100992795264,39941766303,20122916470,66196611280,1150896856,1129526656,198554792679,101429900481,255334642397,53587356362,31320324507,101469415203,59844712688,159958132,358093690,292959867937,174531807413,125306164766,74686096056,394429283140,234376520101,23874771833,79053534113,-29954564794,68482449044,,,,2025
