current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,long_term_debt,short_term_debt
6359001278357,6600403193758,816784210355,263415035497,1191125243906,1049128584930,1239324359119,731255853359,936319005800,9970246456543,6608468330416,4674049607431,7900336457136,-362838697349,2069909999407,11105930097764,9889964979869,11010874328882,9331161886832,95055768882,558803093037,562298024094,389867929021,-467242255212,168935164016,-1011136897865,-754927284302,358834066904,-261756590533,,,,2016,,
5277152166101,6359001278357,517092528197,152548316407,1077905018170,1191125243906,726524150155,629713039145,731255853359,8776332435585,5269742790810,6608468330416,6498263149456,-92198341385,2278069286129,11766840487669,11105930097764,10935113793684,11010874328882,831726693985,95055768882,402700326966,562298024094,429026367019,-467242255212,313641153869,257893627412,337412560592,84898737831,,,,2017,,
5197370790829,5277152166101,705949915381,256933478477,1063250108427,1077905018170,874498720755,573537464471,629713039145,8733846009952,4844628242167,5269742790810,6416124005001,-13786977652,2317722004951,10605493844509,11766840487669,9575386038533,10935113793684,1030107805976,831726693985,401374062423,402700326966,628733743553,429026367019,431796297732,297330432031,176191450039,-152822274098,,,,2018,,
6049393166363,5279568654392,756755792305,470000452546,1353498447135,1063250108427,872887456290,511931752735,573537464471,9697696817049,5084710612598,4992851548503,7209447915772,188593488802,2488248901277,8651852221280,10605493844509,7796798426668,9575386038533,855053794612,1030107805976,490992719960,401374062423,364061074652,628733743553,307274974856,201239572363,-309745995196,254194831186,,,,2019,,
5973144014790,6049393166363,806485051553,428534619043,1000878098527,1353498447135,1479345079734,350602826181,511931752735,9305916434448,4936379321178,5084710612598,6628920363574,507805247575,2676996070874,8136705736642,8651852221280,7136414675329,7796798426668,1000291061313,855053794612,442033539939,490992719960,558257521374,364061074652,377405734155,282603723430,408383333985,47138751059,,,,2020,,
7148890216687,5973144014790,1061037854032,1199781970724,737138164610,1000878098527,1603790331057,363979989853,350602826181,10457976990591,5048964447362,4936379321178,7241599093010,974689854439,3216377897581,8685207679669,8136705736642,7446343102764,7136414675329,1238864576905,1000291061313,500551091797,442033539939,738313485108,558257521374,598393080997,484926502045,1746844560887,-916460925969,,,,2021,,
8028170447651,7148890216687,1423086551766,847370947881,1153981448973,737138164610,1926669674759,353509026631,363979989853,11140353752210,5406234804776,5048964447362,7415736590714,1493842848462,3724617161496,10419213132139,8685207679669,9165519754856,7446343102764,1253693377283,1238864576905,493686862641,500551091797,760006514642,738313485108,713497588646,508010238954,-423144221731,332679102873,,,,2022,,
8021073414250,8028170447651,981645297769,684329768920,1855956101578,1153981448973,1684464167728,383571497825,353509026631,11243136483407,5033466227714,5406234804776,7181221069270,1963039776292,4061915414137,659503202356,342793852190,10436072414834,9165519754856,1211728449856,1253693377283,549210897240,493686862641,662517552616,760006514642,223487475119,521479149761,-832826386466,25962642392,,,,2023,157395900000.0,20000000000.0
9588714887380,8021073414250,1161789491504,769777955607,2777184300328,1855956101578,1945322848983,380193548278,383571497825,12658456266814,4543987487164,5033466227714,8324364439243,2183032686972,4334091827571,840513737301,659503202356,9576062675052,10436072414834,927546410982,1211728449856,524420797101,549210897240,403125613881,662517552616,115645327161,242849735359,-1283524472445,104443534534,,,,2024,542465200593.0,3941950901992.0
9922602327677,9588714887380,1828879779729,434603860342,2682397653349,2777184300328,2427669185668,451554392609,380193548278,13358502674960,5110936916240,4543987487164,9883897059667,1277230844983,3474605615293,257337495320,840513737301,7816182748021,9576062675052,238444389836,927546410982,1053875669627,524420797101,-815431279791,403125613881,-292767743044,-916079534292,462905032703,171987719002,,,,2025,585637798176.0,366055916900.0
