year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum,pead_updated_at
2020,Q4,1470005055,-7662576802,356105956054,313264234672,1470005055,356105956054,0.1368,1.1918,0.0,0.7045,1.0,
2021,Q4,44252213145,1470005055,970760874482,356105956054,44252213145,970760874482,1.726,29.1034,0.0,0.9831,1.0,
2022,Q4,266321029961,44252213145,3887293713353,970760874482,266321029961,3887293713353,3.0044,5.0183,0.0,0.9094,1.0,
2023,Q4,-222296651919,266321029961,138878424081,3887293713353,-222296651919,138878424081,-0.9643,-1.8347,0.0,-0.7858,-1.0,
2024,Q1,-203849660380.0,0,8237716251.0,0.0,-203849660380.0,8237716251.0,0,-203849660380.0,0.0,0.0,0.0,
2024,Q2,-84193884472.0,0,200418316744.0,0.0,-84193884472.0,200418316744.0,0,-84193884472.0,0.0,0.0,0.0,
2024,Q3,-72416549746.0,0,274444195475.0,0.0,-72416549746.0,274444195475.0,0,-72416549746.0,0.0,0.0,0.0,
2024,Q4,-558685355192,-222296651919,61921679414,138878424081,-558685355192,61921679414,-0.5541,-1.5132,0.0,-0.7516,-1.0,
2025,Q1,-140252572527.0,0,41265712029.0,0.0,-140252572527.0,41265712029.0,0,-140252572527.0,0.0,0.0,0.0,
2025,Q2,-121188291178.0,0,-60890385107.0,0.0,-121188291178.0,-60890385107.0,0,-121188291178.0,0.0,0.0,0.0,
2025,Q3,22122023446.0,0,-72900700851.0,0.0,22122023446.0,-72900700851.0,0,22122023446.0,0.0,0.0,0.0,
2025,Q4,-156849943423.0,-558685355192.0,-123961737289.0,61921679414.0,-156849943423.0,-123961737289.0,-1.2807,0.7193,0.0,0.5899,1.0,2026-04-24T17:05:13.310390
