current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,short_term_investments,roe,debt_ratio,opm,year,sga_expense,prev_sga,equity_corrected
106903880167,70074091169,7109212804,31159968093,22767324963,63814523015,84802540854,83285805986,202669010822,81010973208,56676013166,38163809240,9876593907,115317942877,8712293535,87351067945.0,249732039131,235128640553,222030322084,224958680685,27701717047,10169959868,13862699606,-1953219680,6758871462,5224613001,-8921874648,3219694651.0,7957917565,-17036113244,1203859217,,,,2016,,,
160906484479,106903880167,22341079972,48877269543,31159968093,84581601875,96528154379,84802540854,265476272977,104280823305,81010973208,56468643660,19174010000,142171412625,28340155641,123304860352.0,403019915789,249732039131,357904622258,222030322084,45115293531,27701717047,29371157719,13862699606,18570801257,20639184241,6587876009,,8384471740,-17675101791,3420149402,,,,2017,15744135812.0,13839017441.0,
199012035297,160906484479,11371557994,57642887631,48877269543,121263133729,121751798986,96528154379,330981611163,140783139546,104280823305,71823324364,19238560000,187992116545,46135482094,142989494618.0,505664305453,403019915789,457261052186,357904622258,48403253267,45115293531,27020669071,29371157719,25930800899,19883670519,-2836706778,3650050128.0,9051007669,-32531559909,12851776898,,,,2018,21382584196.0,15744135812.0,
206225288157,199012035297,828386414,58407045632,57642887631,138611898429,196500851648,121751798986,416201278724,187498227371,140783139546,138917762958,7923143324,284380746162,34830793775,131820532562.0,313264234672,505664305453,298054016360,457261052186,15210218312,48403253267,-7662576802,27020669071,-10711210408,-8809230051,-25334745006,4259001346.0,9985261253,-87976887471,47369998499,,,,2019,22872795114.0,21382584196.0,
212043543708,206225288157,21225332229,63433102219,58407045632,105275505294,237424710863,196500851648,466217399194,158120232264,187498227371,96766586623,13521483324,268611553374,17904411668,197605845820.0,356105956054,313264234672,332845945817,298054016360,23260010237,15210218312,1470005055,-7662576802,-17881023311,-15018130143,45268961748,5685350024.0,12329612454,-70844064507,2381725527,,,,2020,21790005182.0,22872795114.0,
1070617278632,212043543708,271776317720,270868384962,63433102219,261549650618,427125899595,237424710863,1532199428137,398276731074,158120232264,129615075764,33931515547,897009072581,-98589954831,635190355556.0,970760874482,356105956054,892626595994,332845945817,78134278488,23260010237,44252213145,1470005055,-125638907554,-112263172018,-138078706855,13589103978.0,18977335908,-413581825749,35051614498,,,,2021,33882065343.0,21790005182.0,
2302551789075,1070617278632,120198626403,800586732855,270868384962,1227669369621,709585461408,427125899595,3023932974764,1287536919484,398276731074,406139885260,52082596660,1738602594287,571608334218,1285330380477.0,3887293713353,970760874482,3535891252346,892626595994,351402461007,78134278488,266321029961,44252213145,340535961422,271012385909,-864287525947,21257550403.0,29690748543,-82084352385,278000000000,,,,2022,85081431046.0,33882065343.0,
1969480525059,2302551789075,241265504599,426116359142,800586732855,1163373654088,1119784569862,709585461408,3351444610588,1747319185275,1287536919484,717892000000,1911579745,3351444610588,357864909593,,138878424081,217703059563,4783725936492,3535891252346,-139635568903,351402461007,-222296651919,266321029961,-100765291443,-194922089742,-374648857820,78932674684.0,44243606032,-561296736809,15100000000,,,,2023,,,
1089837750806,1969480525059,279521440477,213888305788,426116359142,574563984034,1259716803053,1119784569862,2799831517733,1552202559623,1747319185275,813020000000,0,2799831517733,-22707262796,,61921679414,138878424081,2370953705572,4783725936492,-463475192763,-139635568903,-558685355192,-222296651919,-138777864024,-380729239417,280519186689,106397626829.0,11803260821,-239887913078,31000000000,,,,2024,95210162429.0,82661083016.0,
1346612596636,1089837750806,382883140911,339351898334,213888305788,594884184426,1325726220043,1259716803053,3134104265112,2060463508384,1552202559623,781033333338,5739593861,3134104265112,-75803182644,,50579215304,61921679414,2226164715440,2370953705572,-71225750337,-463475192763,-156849943423,-558685355192,-33051325329,-534701333152,-29205374598,116770045084.0,0,-137676114814,1100000000,,,,2025,85624193086.0,95210162429.0,
