current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,short_term_investments,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
,,,,,,,,665916423820,,,458601914455,58083939030,207314509365,756963564655,533342717781,,,,,,,52615998585,35934351724,,31440053248,23468728135,12020773063,,,-97543775043,,,,,,2016
,,,,,,,,934019128620,,,705632343989,65190055192,228386784631,883950013573,756963564655,,,,,,,35140124481,52615998585,,15520150514,-6616556836,19504895946,,,-172679491025,,,,,,2017
,,,,,,,,1061541156258,,,819694886005,134760423045,241846270253,1259716816059,883950013573,,,,,,,52337973702,35140124481,,21062588320,-54592032652,24049472026,,,-56703052782,,,,,,2018
,,,,,,,,1204354192976,,,887881614220,161503222313,316472578756,1330652928971,1259716816059,,,,,,,53995136812,52337973702,,18319679109,74567223707,36334664210,,,-95886163554,,,,,,2019
,,,,,,,,1189042897954,,,917142782625,173755208649,271900115329,1382880688515,1330652928971,,,,,,,66641426851,53995136812,,-29053381423,41459691393,43628549360,,,-64605594449,,,,,,2020
,,,,,,,,1411928775762,,,946544204187,248087580254,465384571575,1591487621503,1382880688515,,,,,,,122599910142,66641426851,,34336481889,100045547951,48542894250,,,-143689207061,,,,,,2021
,,,,,,,,1396450504662,,,952203952001,267543932370,444246552661,1600125770194,1591487621503,,,,,,,53100853848,122599910142,,-16446826860,102531468485,54914102485,,,-31251948622,,,,,,2022
,,,,,,,,1557077274819,,,1198515835534,313066873788,358561439285,1777494448320,1600125770194,,,,,,,115685779856,53100853848,,37799983055,231020761952,19314733852,,,-104497982312,,,,,,2023
,,,,,,,,1933713489313,,,1424903002848,383575482948,508810486465,2166089636742,1777494448320,,,,,,,175395279105,115685779856,,88417411666,72966186220,17206959584,,,-160026022210,,,,,,2024
,,,,,,,,2125418400005,,,1513074591553,483417519872,612343808452,2398757972848,2166089636742,,,,,,,195791661624,175395279105,,131076173228,86704661578,1555388289,,,-179427912301,,,,,,2025
