current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,long_term_debt,depreciation
,,969030314291,,,,,,7088395209754,,,1521516892681,2251021224330,5566878317073,6697560669578,5661205541166,,,,,,,1082811426063.0,913640954217.0,,811528531125,876720427437,-814118434103,,,,,2016,,
,,1207667819922,,,,,,7335236005996,,,1403262409182,2422584497927,5931973596814,6029063927310,6697560669578,,,,,,,731492193149.0,1082811426063.0,,489547957837,589746568636,-243523092742,,,,,2017,,
,,1297453210762,,,,,,7387374443718,,,1144904368363,2545799305991,6242470075355,6078179208621,6029063927310,,,,,,,549473516302.0,731492193149.0,,376271212366,730651304320,-540416534833,,,,,2018,,30000000000.0
,,1417441261223,,,,,,8281393134177,,,1801246303938,2648285672923,6480146830239,6284255176037,6078179208621,,,,,,,498249817871.0,549473516302.0,,282404951730,830247661182,-433291819046,,,,,2019,,0.0
,,1190926310607,,,,,,7788743600024,,,1516700821902,2631906542980,6272042778122,4930083149864,6284255176037,,,,,,,150661048495.0,498249817871.0,,22047682158,666039868910,-430147306313,,,,,2020,,0.0
,,870595030191,,,,,,8038142932125,,,1562518153844,2761864143439,6475624778281,5326080007289,4930083149864,,,,,,,356171273550.0,150661048495.0,,291978846416,762592707154,-809212004716,,,,,2021,,1965804982.0
,,650066004916,,,,,,7651003801454,,,1117500460491,2781774777167,6533503340963,4494956806652,5326080007289,,,,,,,,,,149222412761,183450194815,-130139014825,,,,,2022,,59534958905.0
,,628997674836,,,,,,7631430777862,,,1106298749214,2857681567043,6525132028648,4021343038942,4494956806652,,,,,,,152001477210.0,271900712401.0,,234714547925,389472705896,-259408246672,,,,,2023,,140069547946.0
,,564400797684,,,,,,8540521424208,,,1548821316419,3068987263940,6991700107789,4259886701995,4021343038942,,,,,,,249277525878.0,152001477210.0,,652873028811,385422056568,-352868597432,,,,,2024,,113003300000.0
,,596631422270,,,,,,8769409589796,,,1533985961077,3077030884180,7235423628719,4623175217447,4259886701995,,,,,,,367999917421.0,249277525878.0,,292155732971,629668209209,-357331705297,,,,,2025,,102055311372.0
