current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year
,,7086957000000,,,,,,103047337000000,,,,,60720613000000,8368122000000,42326724000000,83617494000000,39299525000000,,,,,,,5298179000000.0,1406753000000.0,,3021790000000.0,9110672000000,-7380510000000,-1428609000000,,,,2016
,,7145842000000,,,,,,109776920000000,,,,,64020500000000,9837619000000,45756420000000,93296368000000,82729874000000,,,,,,,30586000000.0,14705000000.0,,5181367000000.0,6930080000000,-6292859000000,693888000000,,,,2017
,,6783035000000,,,,,,119456991000000,,,,,68569119000000,12217319000000,50887872000000,101502020000000,90612832000000,,,,,,,4688117000000.0,5745027000000.0,,5603828000000.0,7856509000000,-10181756000000,4218107000000,,,,2018
,,7981755000000,,,,,,132020676000000,,,,,79838041000000,12558584000000,52182635000000,99264574000000,100161648000000,,,,,,,3949864000000.0,4683794000000.0,,1700937000000.0,7978837000000,-10686502000000,3694344000000,,,,2019
,,10096940000000,,,,,,137638377000000,,,,,85778459000000,12496676000000,51859918000000,81820139000000,97811541000000,,,,,,,2146.0,14384.0,,-288223000000.0,9694611000000,-10418935000000,4483815000000,,,,2020
,,12317555000000,,,,,,165380861000000,,,,,99815712000000,14065642000000,65565149000000,98325016000000,80818755000000,,,,,,,319895000000.0,126543000000.0,,5398529000000.0,6125170000000,-15432456000000,6124750000000,,,,2021
,,21393853000000,,,,,,194505860000000,,,,,122697070000000,14918613000000,71808790000000,134551641000000,97203653000000,,,,,,,,,,3966176000000.0,7677749000000,-14959134000000,3727273000000,,,,2022
,,22683670000000,,,,,,206970264000000,,,,,206970264000000,13668066000000,77879050000000,131237878000000,132079354000000,,,,,,,5056378000000.0,8161266000000.0,,-406387000000.0,11353882000000,-21627812000000,2942041000000,,,,2023
,,24647042000000,,,,,,214977754000000,,,,,134690218000000,11881908000000,80287536000000,124690439000000,128798468000000,,,,,,,2355290000000.0,4753982000000.0,,,8110330000000,-12157865000000,2791768000000,,,,2024
,,25214132000000,,,,,,213519668000000,,,,,127828333000000,13011427000000,85691335000000,122703338000000,123399669000000,,,,,,,1818476000000.0,2396002000000.0,,3555246000000.0,6098798000000,-537143000000,3449044000000,,,,2025
