current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
1413946624744,1260846358850,461039956454,35406624542,329264262361,309891342129,480622006024,565653300900,561761363693,2389711953432,620770036277,439696486789,247128168202,19762811050,1012177354981,781806020612,1377534598451,1474629420727,1135676081167,526977751660,449263125066,347531564514,252444567226,179446187146,196818557840,95058740010,54134075317,153799833999,108970650961,101895100403,-102198108420,,,,2016
1277431051340,1413946624744,388965860957,52535233561,298286091274,329264262361,434781638610,552063112020,565653300900,2274891069031,551720663510,620770036277,233187382358,27426505920,934148569798,879503557008,1340742499233,1472177019957,1474629420727,537134205090,526977751660,355986775183,347531564514,181147429907,179446187146,102944879361,95058740010,131087394493,94672822290,159143300340,-162685081662,,,,2017
1337081672812,1277431051340,356132867786,37409491893,328947054091,298286091274,493852870129,631706498806,552063112020,2638946076535,469434350517,551720663510,120411839857,28429712400,975820889490,979915282334,1663125187045,1532124607346,1472177019957,569143851793,537134205090,368105864817,355986775183,201037986976,181147429907,91336447518,102944879361,169116180360,111285166379,183941792931,-116867007188,,,,2018
1500905529076,1337081672812,446899132667,36107728987,354141754160,328947054091,540366111948,607781228816,631706498806,3104545848395,622883896748,469434350517,136519343604,115407337760,1135550954689,1130289559791,1968994893706,1782387006601,1532124607346,605879476584,569143851793,368318138297,368105864817,237561338287,201037986976,97393137878,91336447518,233647471354,174282786708,231753126141,-111660337153,,,,2019
1684583634041,1500905529076,664877345170,90972821916,335533995996,354141754160,497845369459,599270040979,607781228816,3038285285380,594962950536,622883896748,217631446303,19099651750,1044287669028,1356895241893,1993997616352,1838040336099,1782387006601,628334093167,605879476584,368645573836,368230460709,259688519331,237649015875,152616021604,97305460290,249398065536,182425908251,346090092799,7284240087,,,,2020
2044753390256,1684583634041,641777189294,170739859255,387192903519,335533995996,643987889187,694058431022,599270040979,3547620437780,525247244441,594962950536,101602386990,0,1113408478688,1633028949490,2434211959092,1964937946084,1838040336099,827580517351,628334093167,385065388339,368645573836,442515129012,259688519331,82125826743,152616021604,451252002117,334303486017,287353748746,-211600795043,,,,2021
2821445719291,2044753390256,735944764488,348617900192,509788782973,387192903519,983904470376,712901101241,694058431022,4513623780811,822686884772,525247244441,224549801840,28815168430,1399319640332,2263681683068,3114304140479,2594344183173,1964937946084,1316616720651,827580517351,493589463605,385065388339,823027257046,442515129012,269339564139,82125826743,881755852631,743155039128,458800227068,-389517540687,,,,2022
3346930108724,2821445719291,896394078489,478471122573,490791336546,509788782973,1329162228700,810535582490,712901101241,5297123640656,1123291101204,822686884772,399176532327,0,1709153120150,2712525857272,3587970520506,2449425474646,2594344183173,1154951550758,1316616720651,517805181924,493589463605,637146368834,823027257046,206599840180,269339564139,148561863188,533070681256,525111272743,-437489586034,,,,2023
3429710995583,3346930108724,799525139874,657114807332,545983230999,490791336546,1225289838766,906467946030,810535582490,5389722907461,727832706578,1123291101204,26446534658,19412471680,5389722907461,3082550333992,3895653089851,2621487734649,2449425474646,896349548644,1154951550758,580768965334,517805181924,315580583310,637146368834,324875551688,206599840180,113637840952,294535556555,623729052618,-254622685723,,,,2024
3644018594586,3429710995583,1090560747187,432845574226,636665881800,545983230999,1224604415841,1013667514493,906467946030,5716939046441,939846307341,727832706578,76448105310,190959894360,1611461917606,3485307506898,4105477128835,2946113206841,2621487734649,1117470915798,896349548644,603032137500,580768965334,514438778298,315580583310,316748159781,324875551688,153483823566,426250682029,374875504121,16475619919,,,,2025
