depreciation,total_assets,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,long_term_debt,revenue,prev_revenue,income_tax,interest_expense,net_income,operating_income,prev_operating_income,sga_expense,prev_sga,cash,capex,cash_from_operations,roe,debt_ratio,opm,year
49266405000000,63403970000000,744845000000,406399000000,5115950000000,2983233000000,63403970000000,10616595000000,190580000000,170076000000,-195576000000,-1489335000000,603924000000,799978000000,825758000000,-772275000000,-720301000000,1859669000000,-1268605000000,-299878000000,,,,2023
52123350000000,66721914000000,789101000000,744845000000,5724805000000,3424543000000,66721914000000,12212687000000,197540000000,190580000000,214910000000,1659809000000,692991000000,906079000000,799978000000,830242000000,772275000000,1489699000000,-663820000000,-963150000000,,,,2024
56458629000000,73123844000000,805581000000,789101000000,6175172000000,3809473000000,73123844000000,14183144000000,192022000000,197540000000,-234664000000,-1526918000000,730040000000,952314000000,906079000000,-908189000000,-830242000000,1489699000000,51934000000,-1137480000000,,,,2025
