date,name,position,change_dir,shares_before,shares_after,change_amount
2024-04-23,김기호,,,0,0,0
2024-04-23,곽소현,,,0,0,0
2024-04-23,김성열,,,0,0,0
2024-04-23,김홍현,,,0,0,0
2024-04-23,황호정,,,0,0,0
2024-06-20,김상재,,,0,0,0
2024-06-20,젬앤컴퍼니,,,0,0,0
2024-09-25,김상재,,,0,0,0
2024-09-25,젬앤컴퍼니,,,0,0,0
2025-01-20,이석준,,,0,0,0
2025-01-20,젬앤컴퍼니,,,0,0,0
2025-02-14,김홍현,,,0,0,0
2025-02-14,곽소현,,,0,0,0
2025-04-30,젬앤컴퍼니,,,0,0,0
2025-04-30,김상재,,,0,0,0
2025-07-01,곽소현,,,0,0,0
2025-07-21,김상재,,,0,0,0
2025-07-21,젬앤컴퍼니,,,0,0,0
2025-12-26,젬앤컴퍼니,,,0,0,0
2026-01-06,젬앤컴퍼니,,,0,0,0
2026-02-25,김상재,,,0,0,0
2026-02-25,젬앤컴퍼니,,,0,0,0
2026-03-12,김상재,,,0,0,0
2026-03-12,젬앤컴퍼니,,,0,0,0
2026-03-20,젬앤컴퍼니,,,0,0,0
2026-03-24,김상재,,,0,0,0
2026-03-24,젬앤컴퍼니,,,0,0,0
2026-04-06,젬앤컴퍼니,,,0,0,0
2024-09-25,김상재,,,0,0,0
2024-09-25,젬앤컴퍼니,,,0,0,0
2025-01-20,이석준,,,0,0,0
2025-01-20,젬앤컴퍼니,,,0,0,0
2025-02-14,김홍현,,,0,0,0
2025-02-14,곽소현,,,0,0,0
2025-04-30,젬앤컴퍼니,,,0,0,0
2025-04-30,김상재,,,0,0,0
2025-07-01,곽소현,,,0,0,0
2025-07-21,김상재,,,0,0,0
2025-07-21,젬앤컴퍼니,,,0,0,0
2025-12-26,젬앤컴퍼니,,,0,0,0
2026-01-06,젬앤컴퍼니,,,0,0,0
2026-02-25,김상재,,,0,0,0
2026-02-25,젬앤컴퍼니,,,0,0,0
2026-03-12,김상재,,,0,0,0
2026-03-12,젬앤컴퍼니,,,0,0,0
2026-03-20,젬앤컴퍼니,,,0,0,0
2026-03-24,김상재,,,0,0,0
2026-03-24,젬앤컴퍼니,,,0,0,0
2026-04-06,젬앤컴퍼니,,,0,0,0
2026-06-19,남경필,,,0,0,0
