year,report,account,current,previous,fs_div,sj_div
2025,연간,자산총계,158874710036,150746205875,CFS,BS
2025,연간,부채총계,101645843703,121740371913,CFS,BS
2025,연간,영업이익(손실),3792531724,-38336839563,CFS,CIS
2025,연간,매출총이익,34925753561,19715148883,CFS,CIS
2025,연간,당기순이익(손실),-11336638395,-87218733402,CFS,CIS
2025,연간,자본총계,57228866333,29005833962,CFS,SCE
2024,연간,자산총계,150746205875,135153431377,CFS,BS
2024,연간,부채총계,121740371913,27134775003,CFS,BS
2024,연간,영업이익(손실),-38336839563,-7868210684,CFS,CIS
2024,연간,매출총이익,19715148883,26048348420,CFS,CIS
2024,연간,당기순이익(손실),-87218733402,-27176637525,CFS,CIS
2024,연간,자본총계,29005833962,108018656374,CFS,SCE
2023,연간,자산총계,135153431377,151142710555,CFS,BS
2023,연간,부채총계,27134775003,16791610787,CFS,BS
2023,연간,영업이익(손실),-7868210684,-3945420701,CFS,CIS
2023,연간,매출총이익,26048348420,21861223642,CFS,CIS
2023,연간,당기순이익(손실),-27176637525,-19603750133,CFS,CIS
2023,연간,자본총계,108018656374,134351099768,CFS,SCE
2022,연간,자산총계,151142710555,172338330059,CFS,BS
2022,연간,부채총계,16791610787,18351938260,CFS,BS
2022,연간,매출총이익,21861223642,18880824444,CFS,CIS
2022,연간,영업이익(손실),-3945420701,-3628359407,CFS,CIS
2022,연간,당기순이익(손실),-19603750133,12057889957,CFS,CIS
2025,3분기,자산총계,157666284549,150746205875,CFS,BS
2025,3분기,부채총계,107365871892,121740371913,CFS,BS
2025,3분기,영업이익(손실),722784785,0,CFS,CIS
2025,3분기,매출총이익,6916687526,0,CFS,CIS
2025,3분기,당기순이익(손실),-2519840763,0,CFS,CIS
2025,3분기,자본총계,21195196500,0,CFS,SCE
2024,3분기,자산총계,144231911532,135153431377,CFS,BS
2024,3분기,부채총계,69270203370,27134775003,CFS,BS
2024,3분기,영업이익(손실),-8865624469,0,CFS,CIS
2024,3분기,매출총이익,4430432945,0,CFS,CIS
2024,3분기,당기순이익(손실),-8185906271,0,CFS,CIS
2024,3분기,자본총계,74961708162,0,CFS,SCE
2023,3분기,자산총계,133716473735,151142710555,CFS,BS
2023,3분기,부채총계,11846545842,16791610787,CFS,BS
2023,3분기,영업이익(손실),-4779954357,0,CFS,CIS
2023,3분기,매출총이익,3455913056,0,CFS,CIS
2023,3분기,당기순이익(손실),-7369767742,0,CFS,CIS
2023,3분기,자본총계,121869927893,0,CFS,SCE
2022,3분기,자산총계,160003132351,172338330059,CFS,BS
2022,3분기,부채총계,17394813607,18351938260,CFS,BS
2022,3분기,매출총이익,6116414061,0,CFS,CIS
2022,3분기,영업이익(손실),-646171176,0,CFS,CIS
2022,3분기,당기순이익(손실),-2453850437,0,CFS,CIS
2025,반기,자산총계,162317612834,150746205875,CFS,BS
2025,반기,부채총계,121410716731,121740371913,CFS,BS
2025,반기,영업이익(손실),-1502761438,0,CFS,CIS
2025,반기,매출총이익,8414691355,0,CFS,CIS
2025,반기,당기순이익(손실),-1583048381,0,CFS,CIS
2025,반기,자본총계,20703030500,0,CFS,SCE
2024,반기,자산총계,138762872976,135153431377,CFS,BS
2024,반기,부채총계,57501207689,27134775003,CFS,BS
2024,반기,영업이익(손실),-3115822457,0,CFS,CIS
2024,반기,매출총이익,4698630858,0,CFS,CIS
2024,반기,당기순이익(손실),2206862846,0,CFS,CIS
2024,반기,자본총계,81261665287,0,CFS,SCE
2023,반기,자산총계,141727809699,151142710555,CFS,BS
2023,반기,부채총계,12413613900,16791610787,CFS,BS
2023,반기,매출총이익,14548727986,0,CFS,CIS
2023,반기,영업이익(손실),8651738326,0,CFS,CIS
2023,반기,당기순이익(손실),-907311317,0,CFS,CIS
2022,반기,자산총계,163674775998,172338330059,CFS,BS
2022,반기,부채총계,18060617064,18351938260,CFS,BS
2022,반기,매출총이익,6529875452,0,CFS,CIS
2022,반기,영업이익(손실),887421450,0,CFS,CIS
2022,반기,당기순이익(손실),-1058774924,0,CFS,CIS
2026,1분기,자산총계,176233379281,158874710036,CFS,BS
2026,1분기,부채총계,95503680171,101645843703,CFS,BS
2026,1분기,영업이익(손실),-764647858,0,CFS,CIS
2026,1분기,매출총이익,5921148443,0,CFS,CIS
2026,1분기,당기순이익(손실),-1491077061,0,CFS,CIS
2026,1분기,자본총계,80729699110,0,CFS,SCE
2025,1분기,자산총계,160967328371,150746205875,CFS,BS
2025,1분기,부채총계,119000889198,121740371913,CFS,BS
2025,1분기,영업이익(손실),-2956098605,0,CFS,CIS
2025,1분기,매출총이익,4960952433,0,CFS,CIS
2025,1분기,당기순이익(손실),-8883114356,0,CFS,CIS
2025,1분기,자본총계,20703030500,0,CFS,SCE
2024,1분기,자산총계,137038461406,135153431377,CFS,BS
2024,1분기,부채총계,63151939195,27134775003,CFS,BS
2024,1분기,영업이익(손실),-18194510717,0,CFS,CIS
2024,1분기,매출총이익,5031234211,0,CFS,CIS
2024,1분기,당기순이익(손실),-34510257626,0,CFS,CIS
2024,1분기,자본총계,73886522211,0,CFS,SCE
2023,1분기,자산총계,145960129655,151142710555,CFS,BS
2023,1분기,부채총계,17635633939,16791610787,CFS,BS
2023,1분기,매출총이익,3152681649,0,CFS,CIS
2023,1분기,영업이익(손실),-2964503124,0,CFS,CIS
2023,1분기,당기순이익(손실),-6061330062,0,CFS,CIS
2022,1분기,자산총계,172019477876,172338330059,CFS,BS
2022,1분기,부채총계,19088610028,18351938260,CFS,BS
2022,1분기,매출총이익,5522427392,0,CFS,CIS
2022,1분기,영업이익(손실),296934472,0,CFS,CIS
2022,1분기,당기순이익(손실),-904217965,0,CFS,CIS
