year,quarter,operating_income,prev_operating_income,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2025,Q1,11740572299.0,0.0,11740572299.0,,,,,0.0,0.0
2025,Q2,30213756660.0,0.0,18473184361.0,,,,0.5734483712155538,0.7071067811865475,1.0
2026,Q1,72040746486.0,0.0,72040746486.0,,,5.136050666979501,2.8997470646203336,1.1486925839321926,2.0
