current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,revenue,prev_revenue,sga_expense,prev_sga
87633459710,91199341485,9083658456,3837857118,40405360711.0,51054333495.0,24795904174,261515405032,274449178058,408520469461,240407839918,207761669832,164280575000,22806396800,268219543109,-10816905086,140300926352,227422253268,244315896534,24872244329,41923212270,-17957770904,16400492268,-26054089348,-24516588231,32994361376,-29931236681,,,,2016,,,,,
133189515439,87633459710,9097688459,3973829352,32651919524.0,40405360711.0,66941856449,345564640333,261515405032,511669698076,275534027389,240407839918,156859971683,38381839503,338300012250,-13213221211,173369685826,312970573771,227422253268,52843089798,24872244329,41052107721,-17957770904,18515183960,10434647840,38426936508,-99863776062,,,,2017,,,,,
144439763716,133189515439,8178891824,3396986652,,,75694827497,424541872531,349065391429,604901999011,327458542728,275534027389,203638113207,36814226604,398651728638,553943643,206250270373,388997576619,312970573771,90951288146,52843089798,53421678482,41052107721,34184073126,21646722095,44901681249,-117216194315,,,,2018,,,,,
167918673336,144439763716,11911290325,6828880314,,,72441413914,484803281030,424541872531,706702383622,250111847212,327458542728,148189675218,18029995151,470242762452,-4231071544,236459621170,409800270771,388997576619,88397732389,90951288146,45252915475,53421678482,23471960617,14505783920,71920942500,-130749062579,,,,2019,,,,,
219791126003,167918673336,53779287480,9596465024,,,75804350850,497370588060,484803281030,764827233841,300775156610,250111847212,161643602911,60483958579,518088137568,-21249155729,246739096273,443726935105,409800270771,95733258006,88397732389,51011649582,45252915475,11283327825,3632689119,82784287819,-125553653357,,,,2020,,,,,
330074313004,219791126003,123077706042,10921492808,,,103516292169,637662972654,497370588060,1030393394722,339179845890,300775156610,105528480348,96555855190,598562440775,2234540161,431830953947,513194368613,443726935105,156317593711,95733258006,104720345406,51011649582,86162116169,64268957251,149226058931,-184330955892,,,,2021,1050000000.0,,,,
383477863614,330074313004,100683158514,2284658804,65499127587.0,66052383457.0,180636939858,807665218785,610524154040,1409048794959,442084130909,339179845890,217167629219,44153095143,920833274905,76891012321,488215520054,722154738394,513194368613,172241154064,156317593711,103548271876,104938649978,90660180773,58230571627,129955135752,-398886577162,,,,2022,0.0,,,,
431596263534,383477863614,106682628169,6476837224,80582932855.0,65499127587.0,169749546371,1002455955877,807665218785,1725090131874,644682194150,442084130909,292300675995,119743384756,1725090131874,60218387021,544387369437,841029213765,722154738394,126942270952,172241154064,57904676214,103548271876,13015657940,963094987,83115094568,-408102565655,,,,2023,0.0,,,,
615552798363,431596263534,155039334781,5342020788,217184477698.0,80582932855.0,165227226732,1037705308316,1002455955877,1944648852618,620248022180,644682194150,247871903160,0,1944648852618,32042843524,605829084189,1060534661197,841029213765,190157914448,126942270952,106792878899,57904676214,9117076163,-11157290055,40971029889,-146143913739,,,,2024,675000000.0,1250692575645.0,967971484717.0,,
700533709131,615552798363,95587857414,55344267,259162963862.0,217184477698.0,247059318411,1025551104472,1037705308316,2017838854218,827150434007,620248022180,282083074730,208207376896,2017838854218,86172610836,652675603467,1322125987936,1060534661197,212292886136,190157914448,127689329155,106792878899,14440938877,65578519945,174918894576,-156830059010,,,,2025,0.0,,,84603556981.0,83365035549.0
