date,holder,shares_before,shares_after,ratio_before,ratio_after,change_cause
2026-01-09,,0,0,0.0,0.0,
2026-01-16,,0,0,0.0,0.0,
2026-01-23,,0,0,0.0,0.0,
2026-01-30,,0,0,0.0,0.0,
