current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_debt
42773820025,36716318768,10945110545,17005140485,14491044861,2126723039.0,10242268052,87413455611,87737347337,141234468637,55183489555,52256857915,4447504544,82763178179,13752985599,58471290458,67911463916,57523292056,49397122792,45709762484,18514341124,11813529572,14479248419,14136609652,4035092705,-2323080080,916074625,705712006,4120711719,-6856446228,,,,2016,
42246907740,42773820025,6812883512,16585115028,17005140485,897846721.0,14896885003,88193690121,87413455611,133860274911,51580365257,55183489555,0,79398696853,5742089056,54461578058,93390771002,67911463916,74375100165,49397122792,19015670837,18514341124,16038207218,14479248419,2977463619,4035092705,-7855359357,-7917178678,934095849,-4947831882,,,,2017,43855268005.0
55049228629,42246907740,15143262419,17651206331,16585115028,4211657086.0,16025911265,114913337416,88193690121,173395377410,43315086562,51580365257,0,89812840256,6136526831,83582537154,102935678142,93390771002,81121521042,74375100165,21814157100,19015670837,18073493377,16038207218,3740663723,2977463619,544921099,471117138,2593611487,-15942806709,,,,2018,33845915119.0
61613274560,55049228629,11420713307,22962482173,17651206331,1821482584.0,22466779484,127401881870,114913337416,191226386788,58773715747,43315086562,34917704320,109060209500,5213798152,82166177288,116384306423,102935678142,93539876357,81121521042,22844430066,21814157100,20181224503,18073493377,2663205563,3740663723,-633796001,-700955198,-6475448368,-13608766284,,,,2019,47882404057.0
69476701372,61613274560,18819723334,27708135246,22962482173,712803977.0,19518515174,134096595745,127401881870,206009387091,64808541827,58773715747,38455176626,118766378477,11617882048,87243008614,154543468825,116384306423,125284685678,93539876357,29258783147,22844430066,20237349484,20181224503,9021433663,2663205563,5697716572,5251008932,10103631570,-11065608014,,,,2020,52948094515.0
116634646697,69476701372,34262742362,36433393581,27708135246,,23579720373,172161328931,134096595745,298387221700,80529391692,64808541827,4104483340,166476198434,33728051677,131911023266,198707699319,154543468825,157024092932,125284685678,41683606387,29258783147,24087523819,20237349484,17596082568,9021433663,16538590932,22969305215,7542102891,-44432167432,,,,2021,
128041011549,116634646697,66805291570,29572456260,36433393581,,24881087629,192610796212,172161328931,327888921205,195973478515,80529391692,74436502653,207199235333,33237673878,120689685872,174098407326,198707699319,137455466136,157024092932,36642941190,41683606387,24672024745,24087523819,11970916445,17596082568,1429491971,797710887,21656892928,-17343932434,,,,2022,
112826280950,128041011549,41429132971,37145457916,29572456260,3020639179.0,22714925328,293709382718,192610796212,413411034481,246992902265,195973478515,79999921188,413411034481,32457086075,156880996885,483270633,113126225,151024344093,137455466136,33964537729,36642941190,27755596627,24672024745,6208941102,11970916445,1099947662,628120911,4808495155,-106015145744,,,,2023,
175050332242,112826280950,82058402880,47837590396,37145457916,,28223486601,440029566401,293709382718,622950058762,315426510534,246992902265,102203385553,622950058762,69328603576,230239136477,1335563267,483270633,-157329839845,-151024344093,61986409925,33964537729,-32632838629,-27755596627,29353571296,6208941102,-10209377700,36394010154,23879378778,-103488642073,,,,2024,153656208924.0
207999290548,175050332242,87095348554,58037886143,47837590396,15312295865.0,32237529597,447647460591,440029566401,660395440186,325513797755,315426510534,108484493684,660395440186,88491718067,258070396398,1058372622,1335563267,199354358954,157329839845,55258821277,61986409925,34572696136,32632838629,20686125141,29353571296,1605158406,20899443380,10948730100,-34142781877,,,,2025,175574260916.0
