current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
2671936983654,3074134952737,311172521345,93525398830,1387256152892,1431685361297,517303438401,551670385318,387559747370,5177266512940,2098319718896,2589073721225,197215299655,428931964226,3531908415289,910439570443,1645358097651,11966717411723,13224458801454,11220847479788,12710715011312,745869931935,513743790142,571796193287,432051899441,174073738648,81691890701,133179797603,84750675793,230322360953,-217987527975,,,,2016
2554249851745,2671936983654,395210646602,20649035434,1276107711725,1387256152892,598074633515,552520113266,551670385318,4967601556415,2130330307465,2098319718896,130691652711,329309563570,3382141120902,960988438792,1585460435513,12827237443495,11966717411723,12076656118081,11220847479788,750581325414,745869931935,538326980232,571796193287,212254345182,174073738648,177891493913,88184961031,180614329883,-10204115354,,,,2017
2558402868072,2554249851745,342013992404,14162013217,1067921473575,1276107711725,514101141007,669022391781,552520113266,5038072460864,2167354736562,2130330307465,63317560005,389222416113,3488534828304,880144431936,1549537632560,9988224865921,12827237443495,9277167228160,12076656118081,711057637761,750581325414,545398288115,538326980232,165659349646,212254345182,156595379034,-35991404090,30788924350,-69267901240,,,,2018
2484044501643,2558402868072,423581791797,10552836690,994064187873,1067921473575,519298712032,764608220991,669022391781,4875982304085,2126279483022,2167354736562,136375156003,319544373061,3327366254250,897241049531,1548616049835,10530857111717,9988224865921,9817350113252,9277167228160,713506998465,711057637761,578722570642,545398288115,134784427823,165659349646,-75284221827,-14860961304,224957775577,78053746589,,,,2019
3162826736744,2484044501643,689987899873,67836868878,1298737649401,994064187873,645123144139,742371969439,764608220991,5395942204029,2518314786513,2126279483022,106803953905,359306593794,3637611206460,1186950661958,1758330997569,11282632389570,10530857111717,10550255568000,9817350113252,732376821570,713506998465,572541350734,578722570642,159835470836,134784427823,455863369873,361606498922,254785906848,265819223955,,,,2020
4376547052901,3162826736744,841882704808,20786952799,1653458723761,1298737649401,1021193439182,806503213420,742371969439,6746889021744,3430948439233,2518314786513,415970654721,269462218098,4362644678498,1522219698501,2384244343246,16686532633651,11282632389570,15335138520772,10550255568000,1351394112879,732376821570,695177026293,572541350734,656217086586,159835470836,734696920486,540331627454,175589706020,-48341559845,,,,2021
4482204749190,4376547052901,1550674815272,49951748763,1374878497715,1653458723761,698349598505,1163339867412,806503213420,7719007333629,2935026255683,3430948439233,281801594396,468997633492,4682532060717,1966092349411,3036475272912,18759549404034,16686532633651,16924062732120,15335138520772,1835486671914,1351394112879,869943201579,695177026293,965543470335,656217086586,1133187692778,779310807894,1222885514751,-521984866071,,,,2022
4033775460675,4482204749190,1138908037970,48888560380,1266520201022,1374878497715,904844381830,1584115855834,1163339867412,7995340730864,2608427815094,2935026255683,130851842086,1092432516853,4920385836841,1965716222528,3074954894023,14514349869122,18759549404034,13138717077726,16924062732120,1375632791396,1835486671914,942523197300,869943201579,433109594096,965543470335,149439195125,193358801940,538338845529,-777236653570,,,,2023
4576965059781,4033775460675,1217957460879,30499102936,1581198502026,1266520201022,877646182425,1745474763863,1584115855834,8930865616216,3397095815278,2608427815094,323576944856,519203849487,5611254021107,2099915540885,3319611595109,16637572685167,14514349869122,15130525526034,13138717077726,1507047159133,1375632791396,1017861785758,942523197300,489185373375,433109594096,190930396237,269491720840,723748680744,-252767286584,,,,2024
4684644294936,4576965059781,1423478736828,49261983277,1669464555637,1581198502026,907056850570,2053228587076,1745474763863,9328302981413,3188131192141,3397095815278,75609204547,1140210512311,5792595381529,2170180641286,3535707599884,16706309561513,16637572685167,15328741295029,15130525526034,1377568266484,1507047159133,1085374917153,1017861785758,292193349331,489185373375,44587620633,158262048335,694419646446,-532577960529,,,,2025
