total_assets,cash,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,long_term_debt,total_liabilities,revenue,prev_revenue,income_tax,interest_expense,net_income,operating_income,prev_operating_income,short_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year
128177312090956,1750885888022,58103697361258,,,11238866114389,4820578726277,,116938445976567,,,,,337857808122,521036811624,835559587337,,352432771880,-4077641709374,,,,2023
137176998056307,1932472666709,55129653994866,,,12263708551768,5471506967840,,124913289504539,,,,,925470295452,1188076348199,521036811624,,-1369708964353,-10250278932212,,,,2024
150283930000000,1698057000000,61533628000000,,,13478203000000,6718718000000,,136805727000000,,,,,1582916000000,1915104000000,1188076000000,,5786714000000,-6860961000000,,,,2025
