날짜,시가,고가,저가,종가,거래량,Open,High,Low,Close,Volume
2018-11-01,9933.0,10466.0,8766.0,8983.0,5759022.0,,,,,
2018-11-02,8883.0,9333.0,8549.0,9133.0,2225733.0,,,,,
2018-11-05,8950.0,9133.0,8600.0,8767.0,976007.0,,,,,
2018-11-06,9016.0,9300.0,8716.0,8783.0,1338674.0,,,,,
2018-11-07,9066.0,9116.0,8233.0,8383.0,810011.0,,,,,
2018-11-08,8500.0,8550.0,8033.0,8083.0,793725.0,,,,,
2018-11-09,8233.0,8383.0,7550.0,7783.0,769887.0,,,,,
2018-11-12,7600.0,7850.0,7366.0,7400.0,373199.0,,,,,
2018-11-13,7250.0,7466.0,7050.0,7417.0,374617.0,,,,,
2018-11-14,7316.0,7366.0,6833.0,6833.0,364280.0,,,,,
2018-11-15,6916.0,6950.0,6500.0,6733.0,381384.0,,,,,
2018-11-16,6750.0,7499.0,6683.0,7017.0,865967.0,,,,,
2018-11-19,6966.0,7150.0,6899.0,6950.0,219223.0,,,,,
2018-11-20,6783.0,6866.0,6516.0,6567.0,232886.0,,,,,
2018-11-21,6416.0,6433.0,6200.0,6350.0,240697.0,,,,,
2018-11-22,6416.0,6550.0,6100.0,6117.0,423491.0,,,,,
2018-11-23,6166.0,6233.0,5700.0,5733.0,325768.0,,,,,
2018-11-26,5800.0,6050.0,5700.0,5800.0,242055.0,,,,,
2018-11-27,5883.0,6233.0,5783.0,6050.0,255280.0,,,,,
2018-11-28,6050.0,6483.0,5983.0,6167.0,336240.0,,,,,
2018-11-29,6333.0,6333.0,5950.0,5983.0,147763.0,,,,,
2018-11-30,6000.0,6500.0,6000.0,6283.0,532264.0,,,,,
2018-12-03,6333.0,6483.0,6283.0,6383.0,316612.0,,,,,
2018-12-04,6416.0,6716.0,6300.0,6467.0,425234.0,,,,,
2018-12-05,6266.0,6466.0,6216.0,6300.0,174185.0,,,,,
2018-12-06,6266.0,6316.0,6066.0,6067.0,108864.0,,,,,
2018-12-07,6200.0,6216.0,5900.0,6017.0,108371.0,,,,,
2018-12-10,5850.0,6000.0,5733.0,5833.0,100045.0,,,,,
2018-12-11,5933.0,6016.0,5750.0,5817.0,81473.0,,,,,
2018-12-12,5833.0,6366.0,5833.0,6300.0,211256.0,,,,,
2018-12-13,6316.0,6933.0,6183.0,6683.0,463356.0,,,,,
2018-12-14,6666.0,6916.0,6566.0,6733.0,254578.0,,,,,
2018-12-17,6700.0,6800.0,6450.0,6683.0,116456.0,,,,,
2018-12-18,6533.0,6666.0,6283.0,6517.0,183713.0,,,,,
2018-12-19,6483.0,6833.0,6416.0,6817.0,461636.0,,,,,
2018-12-20,6750.0,6916.0,6700.0,6783.0,254498.0,,,,,
2018-12-21,6766.0,7166.0,6583.0,6933.0,339402.0,,,,,
2018-12-24,6900.0,7066.0,6783.0,6867.0,131295.0,,,,,
2018-12-26,6666.0,6800.0,6433.0,6767.0,156935.0,,,,,
2018-12-27,6950.0,6966.0,6566.0,6583.0,137160.0,,,,,
2018-12-28,6583.0,6683.0,6516.0,6550.0,90569.0,,,,,
2019-01-02,6666.0,6850.0,6566.0,6633.0,99628.0,,,,,
2019-01-03,6583.0,6733.0,6150.0,6283.0,158788.0,,,,,
2019-01-04,6266.0,6283.0,6050.0,6183.0,114365.0,,,,,
2019-01-07,6250.0,6533.0,6183.0,6483.0,118680.0,,,,,
2019-01-08,6516.0,6700.0,6400.0,6700.0,113589.0,,,,,
2019-01-09,6766.0,7383.0,6666.0,7267.0,569931.0,,,,,
2019-01-10,7333.0,7716.0,7266.0,7533.0,410047.0,,,,,
2019-01-11,7666.0,7666.0,7216.0,7450.0,327618.0,,,,,
2019-01-14,7400.0,7600.0,7166.0,7433.0,183125.0,,,,,
2019-01-15,7400.0,7566.0,7150.0,7250.0,225539.0,,,,,
2019-01-16,7250.0,7250.0,6933.0,7117.0,218516.0,,,,,
2019-01-17,7133.0,7216.0,6716.0,6883.0,131245.0,,,,,
2019-01-18,7083.0,7483.0,6966.0,7417.0,377085.0,,,,,
2019-01-21,7433.0,7550.0,7283.0,7417.0,221776.0,,,,,
2019-01-22,7383.0,7400.0,7133.0,7267.0,104587.0,,,,,
2019-01-23,7166.0,7316.0,7083.0,7217.0,83595.0,,,,,
2019-01-24,7216.0,7366.0,7083.0,7167.0,98112.0,,,,,
2019-01-25,7200.0,7516.0,7100.0,7400.0,150454.0,,,,,
2019-01-28,7466.0,7466.0,7216.0,7233.0,84297.0,,,,,
2019-01-29,7183.0,7266.0,6883.0,6950.0,168484.0,,,,,
2019-01-30,6899.0,7033.0,6800.0,7017.0,94101.0,,,,,
2019-01-31,7016.0,7083.0,6866.0,6967.0,76599.0,,,,,
2019-02-01,6966.0,7066.0,6783.0,6917.0,97490.0,,,,,
2019-02-07,6850.0,7083.0,6800.0,7067.0,62092.0,,,,,
2019-02-08,7066.0,7166.0,6983.0,7100.0,57852.0,,,,,
2019-02-11,7083.0,7316.0,7016.0,7283.0,143261.0,,,,,
2019-02-12,7366.0,7400.0,7233.0,7317.0,96692.0,,,,,
2019-02-13,7316.0,7333.0,7216.0,7317.0,56295.0,,,,,
2019-02-14,7300.0,7400.0,7150.0,7400.0,72513.0,,,,,
2019-02-15,7400.0,7850.0,7333.0,7600.0,251644.0,,,,,
2019-02-18,7600.0,7783.0,7500.0,7633.0,154989.0,,,,,
2019-02-19,7800.0,7800.0,7200.0,7283.0,288064.0,,,,,
2019-02-20,7333.0,7349.0,7083.0,7167.0,125810.0,,,,,
2019-02-21,7216.0,7550.0,7133.0,7467.0,149222.0,,,,,
2019-02-22,7466.0,7499.0,7333.0,7417.0,79498.0,,,,,
2019-02-25,7583.0,7716.0,7450.0,7533.0,136732.0,,,,,
2019-02-26,7549.0,7616.0,7400.0,7567.0,94403.0,,,,,
2019-02-27,7583.0,8050.0,7483.0,7933.0,329563.0,,,,,
2019-02-28,7933.0,8100.0,7700.0,7733.0,207853.0,,,,,
2019-03-04,7833.0,8066.0,7833.0,7900.0,113494.0,,,,,
2019-03-05,7866.0,7983.0,7783.0,7800.0,97508.0,,,,,
2019-03-06,7800.0,7966.0,7700.0,7867.0,80556.0,,,,,
2019-03-07,7850.0,8100.0,7616.0,7700.0,125896.0,,,,,
