depreciation,total_assets,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,revenue,prev_revenue,income_tax,interest_expense,net_income,operating_income,prev_operating_income,sga_expense,prev_sga,cash,capex,cash_from_operations,roe,debt_ratio,opm,year,long_term_debt
14634016327824,102235842680189,802228273710,795249470532,10097185065931,7610654308103,102235842680189,42445957572260,51450458649993,719189304434,1853420915966,2125376583433,2124735074418,2135234867331,630333088653.0,782001968576.0,3655406354088,-2700422312242,-1271036485179,,,,2023,
16719735743819,115578247112858,994303316270,802228273710,10930036028008,8790694338024,115578247112858,46574506350960,58558358469900,807711694675,1977306366199,2333433638351,2333433638351,2124735074418,742945688143.0,630333088653.0,1992067252286,-2742576768411,-3918171095152,,,,2024,
19081074498194,135457983800835,1024965331349,994303316270,11261208003790,9237934579505,135457983800835,831496277982,598057838649,811416754043,-2036240440659,2350134643625,2872733957980,3188889251285,,,2376896632672,-6552315823041,-6472006707057,,,,2025,8420299485272.0
