date,name,position,change_dir,shares_before,shares_after,change_amount
2024-05-21,한국해양진흥공사,,,0,0,0
2024-05-21,한국산업은행,,,0,0,0
2024-06-24,한국산업은행,,,0,0,0
2024-06-24,한국해양진흥공사,,,0,0,0
2024-10-23,한국산업은행,,,0,0,0
2024-10-24,한국해양진흥공사,,,0,0,0
2025-02-07,서승환,,,0,0,0
2025-02-07,고지영,,,0,0,0
2025-04-18,한국산업은행,,,0,0,0
2025-04-18,한국해양진흥공사,,,0,0,0
2025-09-18,한국해양진흥공사,,,0,0,0
2025-09-18,한국산업은행,,,0,0,0
2024-10-23,한국산업은행,,,0,0,0
2024-10-24,한국해양진흥공사,,,0,0,0
2025-02-07,서승환,,,0,0,0
2025-02-07,고지영,,,0,0,0
2025-04-18,한국산업은행,,,0,0,0
2025-04-18,한국해양진흥공사,,,0,0,0
2025-09-18,한국해양진흥공사,,,0,0,0
2025-09-18,한국산업은행,,,0,0,0
