date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-01-20,0.0,0,0.0
2026-01-21,0.0,0,0.0
2026-01-22,1.715,0,0.858
2026-01-23,0.0,0,0.0
2026-01-26,0.0,0,0.0
2026-01-27,0.0,0,0.0
2026-01-28,0.0,0,0.0
2026-01-29,0.0,0,0.0
2026-01-30,0.965,1,0.982
2026-02-02,1.285,0,0.642
2026-02-03,0.0,0,0.0
2026-02-04,0.0,0,0.0
2026-02-05,1.052,1,1.026
2026-02-06,0.568,0,0.284
2026-02-09,0.0,0,0.0
2026-02-10,0.0,0,0.0
2026-02-11,0.0,0,0.0
2026-02-12,0.0,0,0.0
2026-02-13,0.689,0,0.344
2026-02-19,0.0,0,0.0
2026-02-20,0.0,0,0.0
2026-02-23,1.234,1,1.117
2026-02-24,0.0,0,0.0
2026-02-25,0.0,0,0.0
2026-02-26,0.0,0,0.0
2026-02-27,0.0,0,0.0
2026-03-03,0.995,1,0.998
2026-03-04,0.906,0,0.453
2026-03-05,0.0,0,0.0
2026-03-06,0.0,0,0.0
2026-03-09,0.428,1,0.714
2026-03-10,0.0,0,0.0
2026-03-11,0.0,0,0.0
2026-03-12,0.0,0,0.0
2026-03-13,0.59,0,0.295
2026-03-16,0.64,0,0.32
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,1.039,0,0.52
2026-03-20,0.0,0,0.0
2026-03-23,1.25,0,0.625
2026-03-24,0.0,0,0.0
2026-07-21,0.0,0,0.0
