current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
277509952146,227269787860,114031772985,58731000000,24108759415,54926600360,72346333157,79763437484,72608461990,389485376005,61491857033,55793852607,0,8969180044,73444557796,226263840316,316040818209,257626474902,242541950252,207678485385,197783084232,49947989517,44758866020,23059388852,19231308212,26888600665,25527557808,24496946507,16470646070,60000175742,-26718448949,,,,2016,
240653409393,277509952146,102889329706,19246770800,34826378914,24108759415,66765498637,83237887616,79763437484,366441406824,46009683204,61491857033,0,8928100000,56119221415,221825549014,310322185409,239057382448,257626474902,211950330879,207678485385,27107051569,49947989517,22232004731,23059388852,4875046838,26888600665,2944864168,744134336,-15432247323,13023702532,,,,2017,
189268591079,240653409393,28400189612,37904000000,18660473117,34826378914,56395829411,102757497328,83237887616,360113097978,46640745771,46009683204,0,8344000000,56411443093,218585151301,303701654885,226695049819,239057382448,201031588238,211950330879,25663461581,27107051569,19489783766,21280203749,6173677815,5826847820,5878028440,-2978652356,42776647080,-112848686072,,,,2018,22798322878.0
220581377395,189268591079,40667276417,17674100000,29826827528,18660473117,87193879959,129459283910,102757497328,397589485374,66685646846,46640745771,9125650000,7785000000,84870941179,227524633735,312718544195,273402502535,226695049819,224569689119,201031588238,48832813416,25663461581,23546146162,19489783766,25286667254,6173677815,23830630518,17701679655,-421619853,14421573726,,,,2019,19772310212.0
256225764603,220581377395,65809490579,28900382750,27036233988,29826827528,92695525144,155302975283,129459283910,478319470904,75327765224,66685646846,17112540000,7330000000,97788638535,278612239619,380530832369,411665264149,273402502535,307175186525,224569689119,104490077624,48832813416,28762388124,23546146162,75727689500,25286667254,73983686437,57379486137,69432784322,-65380701697,,,,2020,11118089086.0
247791867042,256225764603,49048026242,15572818991,34456941892,27036233988,90813546045,184644775720,155302975283,498355905299,93991127594,75327765224,15948570000,7098000000,109356563548,284714198828,388999341751,367827134273,411665264149,306977510763,307175186525,60849623510,104490077624,28117267963,28762388124,32732355547,75727689500,28459957706,14348609838,25507209159,-33364221352,,,,2021,10633905317.0
289163544215,247791867042,53576755408,13165043679,39272301140,34456941892,156268224890,212463841607,184644775720,585333635410,156336842968,93991127594,853420000,44318000000,181165801047,299947161270,404167834363,369270866021,367827134273,313197560069,306977510763,56073305952,60849623510,31275246885,28117267963,24798059067,32732355547,28900101934,20260871261,-7798849185,-11524966237,,,,2022,4610000.0
398231471694,289163544215,66697909049,13022445360,101111566071,39272301140,180213736902,271300752275,212463841607,792428141673,297365080481,156336842968,21104800000,95940061721,792428141673,278294987874,454654105515,594417384371,369270866021,531263336300,313197560069,63154048071,56073305952,46688323557,31275246885,16465724514,24798059067,6382880003,-13449428136,56519869189,-44428622026,,,,2023,0.0
460860282424,398231471694,57565061282,8598214109,126501819453,101111566071,197476021632,312075748265,271300752275,878968656770,369168308880,297365080481,5930950000,59875415898,878968656770,294860829555,474286350797,741740847191,594417384371,624158340176,531263336300,117582507015,63154048071,70543498019,46711673161,45446301892,16465724514,8115246206,20321351760,150534191281,-81606760875,,,,2024,0.0
607406715338,460860282424,57866929673,27093215744,117640054941,126501819453,197614580430,335053945936,312075748265,1043222615767,424075433974,369168308880,0,68059375742,1043222615767,454119351834,580170310439,908810220281,741740847191,695895955446,624158340176,212914264835,117582507015,82291833005,70543498019,130950531954,45446301892,30119888920,101743537476,131542994323,-187899970939,,,,2025,0.0
