date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-02-24,0.0,0,0.0
2026-02-25,0.0,0,0.0
2026-02-26,0.0,0,0.0
2026-02-27,1.063,1,1.031
2026-03-03,1.206,1,1.103
2026-03-04,1.342,0,0.671
2026-03-05,0.0,1,0.5
2026-03-06,0.0,0,0.0
2026-03-09,0.652,0,0.326
2026-03-10,0.0,1,0.5
2026-03-11,0.0,0,0.0
2026-03-12,0.0,0,0.0
2026-03-13,0.0,0,0.0
2026-03-16,0.732,0,0.366
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,0.787,0,0.394
2026-03-20,0.0,0,0.0
2026-03-23,1.102,0,0.551
2026-03-24,0.0,0,0.0
2026-03-25,0.0,0,0.0
2026-03-26,0.764,0,0.382
2026-03-27,0.0,0,0.0
2026-03-30,0.875,0,0.438
2026-03-31,1.719,0,0.86
2026-04-01,0.0,0,0.0
2026-04-02,1.953,1,1.477
2026-04-03,0.0,0,0.0
2026-04-06,0.0,0,0.0
2026-04-07,0.0,0,0.0
2026-04-08,0.0,0,0.0
2026-04-09,0.0,1,0.5
2026-04-10,0.0,0,0.0
2026-04-13,0.702,0,0.351
2026-04-14,0.0,0,0.0
2026-04-15,0.0,0,0.0
2026-04-16,0.0,0,0.0
2026-04-17,0.0,1,0.5
2026-04-20,0.58,0,0.29
2026-04-21,0.0,0,0.0
2026-04-22,0.0,0,0.0
2026-04-23,0.0,0,0.0
2026-04-24,0.9,0,0.45
2026-04-27,0.0,0,0.0
2026-04-28,0.0,0,0.0
2026-04-29,0.0,0,0.0
2026-04-30,1.848,1,1.424
2026-05-04,0.0,1,0.5
2026-05-06,0.0,0,0.0
2026-05-07,0.0,0,0.0
2026-05-08,0.0,0,0.0
2026-05-11,0.772,0,0.386
2026-05-12,0.959,0,0.48
2026-05-13,0.864,1,0.932
2026-05-14,0.0,0,0.0
2026-05-15,0.946,1,0.973
2026-05-18,0.827,0,0.414
2026-05-19,0.0,1,0.5
2026-05-20,0.913,0,0.456
2026-05-21,0.0,0,0.0
