year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-4539984440,2555334167,12511415776,30085994562,-4539984440,12511415776,-0.5841,-2.7767,0.0,-0.8474,-1.0
2021,Q4,-9770057431,-4539984440,9241494499,12511415776,-9770057431,9241494499,-0.2614,-1.152,0.0,-0.6973,-1.0
2022,Q4,-26354165991,-9770057431,7851578107,9241494499,-26354165991,7851578107,-0.1504,-1.6974,0.0,-0.7725,-1.0
2023,Q4,-9785148630,-26354165991,179068764,7851578107,-9785148630,179068764,-0.9772,0.6287,0.0,0.557,1.0
2024,Q1,1220236001.0,0,5049773734.0,0.0,1220236001.0,5049773734.0,0,1220236001.0,0.0,0.0,0.0
2024,Q2,5688344617.0,0,9175990779.0,0.0,5688344617.0,9175990779.0,0,5688344617.0,0.0,0.0,0.0
2024,Q3,-3315208693.0,0,458723553.0,0.0,-3315208693.0,458723553.0,0,-3315208693.0,0.0,0.0,0.0
2024,Q4,790972784,-9785148630,94110764,179068764,790972784,94110764,-0.4744,1.0808,0.0,0.6837,1.0
2025,Q1,-4282780897.0,0,708793387.0,0.0,-4282780897.0,708793387.0,0,-4282780897.0,0.0,0.0,0.0
2025,Q2,-4818579603.0,0,332908407.0,0.0,-4818579603.0,332908407.0,0,-4818579603.0,0.0,0.0,0.0
2025,Q3,-4619778899.0,0,553056709.0,0.0,-4619778899.0,553056709.0,0,-4619778899.0,0.0,0.0,0.0
2025,Q4,-18160910580,790972784,20872179,94110764,-18160910580,20872179,-0.7782,-23.9602,0.0,-0.9796,-1.0
