current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,depreciation,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,retained_earnings
37681747309,34121637807,9743122607,3000000000,16934411183,15768129870,6664134287,10080967737,5417899132,1876316986.0,53381060671,27903895408,9707387874,8327481866,11977107614,35166553697,18214506974,36101390151,40674617767,24100942891,28488806018,12000447260,12185811749,18964901520,10829935365,-6964454260,1355876384,1528476947.0,-8149512215,-8070237177,-4338359823,-9980898988,,,,2016,
36368306088,37681747309,4850550329,0,22934898968,16934411183,5876265890,9436649815,10080967737,2191702085.0,49498780886,18481667858,27903895408,7032719556,9344976123,18607938596,30890842290,31970192878,36101390151,17142140782,24100942891,14828052096,12000447260,13364367612,18964901520,1463684484,-6964454260,1736204528.0,1209745230,1218194238,-3696171058,654909666,,,,2017,
35691686959,36368306088,3162374358,0,25795655508,22934898968,4175113646,8369944887,9436649815,2534270545.0,54008494105,11436835130,18481667858,4400000000,2629565865,13524025945,40484468160,31863791411,31970192878,17341116707,17142140782,14522674704,14828052096,12939763122,13364367612,1582911582,1463684484,1042631216.0,2768994781,2617921261,5002764980,-4625849920,,,,2018,
33268973097,35691686959,5555133559,1500000000,18735966868,23341961583,6079900045,7196074424,8369944887,2876803060.0,63235589162,13947159496,11436835130,4400000000,7205645457,16245755313,46989833849,30085994562,31235879556,15964334185,16887714179,14121660377,14348165377,11566326210,12268873273,2555334167,2079292104,774015313.0,1293825970,767215168,9178916706,-14696825397,,,,2019,
41859903422,33268973097,19215105650,0,17430585091,19838692709,4214769970,6673590555,7196074424,,93740989045,8968353640,13947159496,6400000000,0,41403365809,52337623236,12511415776,30085994562,5948750797,15964334185,6562664979,14121660377,11102649419,11566326210,-4539984440,2555334167,,-7933438045,-8259902290,7501969098,-26830580392,,,,2020,
34850763816,41859903422,9188836064,13010434318,9132733756,17430585091,3349866988,6072666431,6673590555,,80528215833,16652363239,8968353640,6400000000,7614464418,18957443929,61570771904,9241494499,12511415776,5720730332,5948750797,3520764167,6562664979,13290821598,11102649419,-9770057431,-4539984440,,-19807588482,-20051086939,-538477007,-12359401500,,,,2021,
24012071104,34850763816,2732424702,16000000000,1671398735,8825065209,2946265146,6375625338,6072666431,,67326810921,8384034661,16652363239,5900000000,0,9091422389,58235388532,7851578107,9241494499,5168318333,5720730332,2683259774,3520764167,29037425765,13290821598,-26354165991,-9770057431,,-16612741978,-15807267634,-16543513766,8517585813,,,,2022,
15162589130,24012071104,1811880156,10000000000,465749368,1671398735,2588144096,2903743011,6375625338,,52791761018,6946760083,8384034661,5400000000,0,52791761018,45271012269,179068764,9521789789,4440200164,5168318333,5041184468,2683259774,14826333098,29037425765,-9785148630,-26354165991,,1044328,-14499357710,-6008318920,5177463910,,,,2023,-12554418525.0
6809973145,15162589130,3656601916,0,1641796655,465749368,1075783256,3582639608,2903743011,,67704784931,27486792004,6946760083,5000000000,20832375965,67704784931,39438422428,94110764,179068764,3184749097,4440200164,11865276259,5041184468,11074303475,14826333098,790972784,-9785148630,,0,-6929528506,2257053807,-19740413436,,,,2024,-19572700577.0
43989896202,6809973145,22337858879,17738650814,2460948875,1641796655,1136746561,3652246607,3582639608,,130738698532,19520782689,27486792004,0,17264473159,130738698532,110726343116,20872179,94110764,3273738833,3184749097,243630390,11865276259,18404540970,11031484623,-18160910580,833791636,,3885505,-22128347687,-17049918860,-38585556469,,,,2025,-41689698427.0
