date,name,position,change_dir,shares_before,shares_after,change_amount
2024-04-16,하주찬,,,0,0,0
2024-12-04,심재환,,,0,0,0
2025-02-17,김근호,,,0,0,0
2025-02-17,김기용,,,0,0,0
2025-02-17,김동균,,,0,0,0
2025-02-17,김호윤,,,0,0,0
2025-02-17,나현철,,,0,0,0
2025-02-17,박상권,,,0,0,0
2025-02-17,유지환,,,0,0,0
2025-02-17,이상기,,,0,0,0
2025-02-17,조기석,,,0,0,0
2025-02-17,조철호,,,0,0,0
2025-02-17,하주찬,,,0,0,0
2025-02-17,고광영,,,0,0,0
2025-02-17,강순경,,,0,0,0
2025-02-17,양승주,,,0,0,0
2025-02-18,최창식,,,0,0,0
2025-02-18,김재승,,,0,0,0
2025-05-02,양승주,,,0,0,0
2025-10-10,DB,,,0,0,0
2025-12-18,DB,,,0,0,0
2026-01-27,김호윤,,,0,0,0
2026-01-27,김기용,,,0,0,0
2026-01-27,유지환,,,0,0,0
2026-01-27,정현섭,,,0,0,0
2026-01-27,이종현,,,0,0,0
2026-01-27,하주찬,,,0,0,0
2026-01-27,조철호,,,0,0,0
2026-02-23,강순경,,,0,0,0
2026-02-26,DB,,,0,0,0
2026-03-10,김호윤,,,0,0,0
2026-03-10,조기석,,,0,0,0
2026-04-22,박상권,,,0,0,0
2026-04-22,김근호,,,0,0,0
2026-05-11,미래에셋자산운용,,,0,0,0
2026-05-14,미래에셋자산운용,,,0,0,0
2026-05-21,미래에셋자산운용,,,0,0,0
2024-12-04,심재환,,,0,0,0
2025-02-17,강순경,,,0,0,0
2025-02-17,양승주,,,0,0,0
2025-02-17,하주찬,,,0,0,0
2025-02-17,조철호,,,0,0,0
2025-02-17,조기석,,,0,0,0
2025-02-17,고광영,,,0,0,0
2025-02-17,김근호,,,0,0,0
2025-02-17,김기용,,,0,0,0
2025-02-17,김동균,,,0,0,0
2025-02-17,김호윤,,,0,0,0
2025-02-17,나현철,,,0,0,0
2025-02-17,박상권,,,0,0,0
2025-02-17,유지환,,,0,0,0
2025-02-17,이상기,,,0,0,0
2025-02-18,최창식,,,0,0,0
2025-02-18,김재승,,,0,0,0
2025-05-02,양승주,,,0,0,0
2025-10-10,DB,,,0,0,0
2025-12-18,DB,,,0,0,0
2026-01-27,김기용,,,0,0,0
2026-01-27,정현섭,,,0,0,0
2026-01-27,이종현,,,0,0,0
2026-01-27,하주찬,,,0,0,0
2026-01-27,조철호,,,0,0,0
2026-01-27,유지환,,,0,0,0
2026-01-27,김호윤,,,0,0,0
2026-02-23,강순경,,,0,0,0
2026-02-26,DB,,,0,0,0
2026-03-10,김호윤,,,0,0,0
2026-03-10,조기석,,,0,0,0
2026-04-22,박상권,,,0,0,0
2026-04-22,김근호,,,0,0,0
2026-05-11,미래에셋자산운용,,,0,0,0
2026-05-14,미래에셋자산운용,,,0,0,0
2026-05-21,미래에셋자산운용,,,0,0,0
2026-05-28,미래에셋자산운용,,,0,0,0
2026-06-04,미래에셋자산운용,,,0,0,0
2026-06-18,미래에셋자산운용,,,0,0,0
2026-06-25,미래에셋자산운용,,,0,0,0
2026-07-02,미래에셋자산운용,,,0,0,0
2026-07-09,미래에셋자산운용,,,0,0,0
