year,report,account,current,previous,fs_div,sj_div
2025,연간,자산총계,32927788000000,30143063000000,CFS,BS
2025,연간,자본총계,12234321000000,11889482000000,CFS,BS
2025,연간,부채와자본총계,32927788000000,30143063000000,CFS,BS
2025,연간,부채총계,20693467000000,18253581000000,CFS,BS
2025,연간,영업이익,1062715000000,1003759000000,CFS,IS
2025,연간,매출총이익,3413217000000,2962142000000,CFS,IS
2025,연간,당기순이익,249511000000,302227000000,CFS,IS
2025,연간,매출액,19784138000000,18132874000000,CFS,IS
2024,연간,자산총계,30143063000000,28286809000000,CFS,BS
2024,연간,자본총계,11889482000000,11206739000000,CFS,BS
2024,연간,자본과부채총계,30143063000000,28286809000000,CFS,BS
2024,연간,부채총계,18253581000000,17080070000000,CFS,BS
2024,연간,영업이익,1003759000000,1436262000000,CFS,IS
2024,연간,구형우선주기본주당계속영업이익(손실),-12665,-21773,CFS,IS
2024,연간,구형우선주희석주당계속영업이익(손실),-12665,-21773,CFS,IS
2024,연간,보통주기본주당계속영업이익(손실),-12715,-21823,CFS,IS
2024,연간,보통주희석주당계속영업이익(손실),-12480,-21823,CFS,IS
2024,연간,매출총이익,2962142000000,3245069000000,CFS,IS
2024,연간,당기순이익(손실),302227000000,272074000000,CFS,IS
2024,연간,계속영업이익(손실),302227000000,272074000000,CFS,IS
2023,연간,자산총계,28286808651585,26315352623211,CFS,BS
2023,연간,자본총계,11206738545707,10297815766057,CFS,BS
2023,연간,자본과부채총계,28286808651585,26315352623211,CFS,BS
2023,연간,부채총계,17080070105878,16017536857154,CFS,BS
2023,연간,영업이익(손실),1436262204451,1126028726422,CFS,IS
2023,연간,구형우선주기본주당계속영업이익(손실),-21773,-37112,CFS,IS
2023,연간,구형우선주기본주당중단영업이익(손실),0,-1970,CFS,IS
2023,연간,구형우선주희석주당계속영업이익(손실),-21773,-37112,CFS,IS
2023,연간,구형우선주희석주당중단영업이익(손실),0,-1970,CFS,IS
