current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year
21984538794,10387855701,4219004067,6063122908,3661515934,3355000000,8279077903,5104581937,5053672849,28852084298,4805961617,12073411320,0,0.0,5180487260,437987944,23671597038,22304735526,16114977953,14108411494,9675204259,8196324032,6439773694,3386377945,3449651172,4809946087,2990122522,294123716,421198428,1080712913,108954390,151108307,-2430135280,,,,2022
18902428898,21984538794,2303516553,3846218167,6063122908,3555000000,9052722336,5014508837,5104581937,25958213181,1983406894,4805961617,0,0.0,2113312133,579430196,23844901048,12456309964,22304735526,8374554220,14108411494,4081755744,8196324032,4620241806,3386377945,-538486062,4809946087,-148068991,121752316,-1292385736,8598896,166163093,-644330494,,,,2023
14600611794,20829776683,1609370443,5176948980,2919003929,355000000,7397891724,4638620457,4881173567,22345945004,1421808786,2689453192,0,,22345945004,-10398104314,20591397758,8293471882,3689064462,7804698696,6487455828,488773186,-2798391366,3694146507,3896970903,-3205373321,-6695362269,105449,-3032458683,-3951658441,4429391,138520222,-2591570685,,,,2024
2097880866,14600611794,762585756,1272810893,5176948980,0,196348,616561,4638620457,6213216901,1631498999,1421808786,5187105109,,6213216901,-25926493476,4488669254,3647598567,8293471882,10686771193,7804698696,-7039172626,488773186,7596169788,3694146507,-14635342414,-3205373321,13837,-15716936622,-3422174962,173975075,102342429,2660574651,,,,2025
