current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,cash_from_operations,capex,roe,debt_ratio,opm,year,retained_earnings,income_tax,net_income,revenue,prev_revenue
,,1493145000000,,,,,,19941795000000,,,12376390000000,7565405000000,,,,,,,5738000000.0,0.0,395360000000,-884812000000,,,,2020,,,,,
,,1282880000000,,,,,,23764137000000,,,15021764000000,8742373000000,,,,,,,185176000000.0,4632000000.0,978585000000,-2178121000000,,,,2021,337587000000.0,,929868000000.0,,
,,5937967000000,,,,,,38299445000000,,,17705683000000,20593762000000,,,,,,,,,-579807000000,-6259356000000,,,,2022,1154518000000.0,,779826000000.0,,
,,5068783000000,,,,,,45437144000000,,,45437144000000,24373509000000,,,,,,,400805000000.0,12590000000.0,4444179000000,-9719327000000,,,,2023,2364496000000.0,,1637985000000.0,33745470000000.0,25598609000000.0
,,3898711000000,,,,,,60306791000000,,,29340248000000,30966543000000,,,,,,,575387000000.0,2163234000000.0,5111700000000,-12065447000000,,,,2024,1397211000000.0,,338602000000.0,25619585000000.0,33745470000000.0
,,3779307000000,,,,,,67147953000000,,,37826277000000,29321676000000,,,,,,,1346120000000.0,575387000000.0,4432277000000,-10881277000000,,,,2025,332209000000.0,,80803000000.0,23671759000000.0,25619585000000.0
