current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,long_term_debt
566642689601,0,28756851273,213887845891,94442425480,402170958993,0,1277349524088,681364595901,0,2800000000,888705326553,28683646742,388644197535,938735224712,0,769535906862,0,169199317850,0,142682837866,0,26516479984,0,35026333671.0,27983934658,-24964281856,32103377027,,,,2017,,
696072311454,566642689601,35338825797,189390506851,103393148174,486125142793,402170958993,1482568536572,763691794052,681364595901,5094238750,960905506895,160313848097,521663029677,5775862323457,938735224712,4756223688566,769535906862,1019638634891,169199317850,825414394414,142645589134,189516685804,26516479984,202539442162.0,154186683020,345797723349,-324215949917,,,,2018,4707554673.0,
744140651570,696072311454,28047949946,59200000000,90874465894,549816981097,486125142793,2172410899706,950726347343,763691794052,2294238750,1549815137631,261246580495,622595762075,5946068219555,5775862323457,4889561258211,4756223688566,1056506961344,1019638634891,859796389576,825414394414,196623293754,189516685804,201078376312.0,151377053549,532814863392,-293909155284,,,,2019,87278014.0,9434863790.0
829086121576,744140651570,24011314610,64342690944,121544699913,591452944612,549816981097,2371169598247,1003393099606,950726347343,8453238750,1674341687928,335710622447,696827910319,6181269419288,5946068219555,5129513382786,4889561258211,1051756036502,1056506961344,889488788714,859796389576,162204243583,196623293754,163103983178.0,122711267434,507341460255,-266360892536,,,,2020,63004205.0,1800000000.0
808328772196,829086121576,54442437355,61600000000,108457562501,614077692952,591452944612,2596378756682,1016456191788,1003393099606,6090000000,1787059387273,445675687507,809319369409,6781161259022,6181269419288,5604063733435,5129513382786,1177097525587,1051756036502,977487554382,889488788714,199441703668,162204243583,192516329566.0,147642852239,538147659919,-239089231635,,,,2021,168267537.0,14520000000.0
889900434324,808328772196,268595922005,34803720177,124841356071,690462607488,614077692952,2946235271626,1102246622172,1016456191788,12290000000,1983607627851,600078132187,962627643775,7615769467741,6781161259022,6229570187158,5604063733435,1386199280583,1177097525587,1133018580665,977487554382,252407573570,199441703668,254068774008.0,193538863026,630424675866,-98479901855,,,,2022,773126348.0,1092033880.0
978981168666,889900434324,302293600934,50970500000,176968202723,776433424714,690462607488,3219078523118,1191297910778,1102246622172,10690000000,3219078523118,712263642465,1074453047721,8194753978897,7615769467741,6671994182070,6229570187158,1522759796827,1386199280583,1269557613225,1133018580665,253187753623,252407573570,52506356973.0,195844952003,647081048143,-244136780392,,,,2023,187980130.0,0.0
1051821792855,978981168666,324778558632,49125000000,212274236406,833695014081,776433424714,3402590175982,1296161749989,1191297910778,3200000000,3402590175982,830954981044,1184132956540,31392602987,24248140028,7073041936513,6671994182070,1625715532598,1522759796827,1373990331229,1269557613225,251641247239,253187753623,,195217876198,768788316472,-346030876321,,,,2024,156083671.0,0.0
1180372578482,1051821792855,414042445266,23000000000,215631364940,886685579178,833695014081,3556166960339,1328280103234,1296161749989,0,2243109802650,958820001148,1313057157689,44751140348,31392602987,7374174140732,7073041936513,1687041966884,1625715532598,1432957491345,1373990331229,253947326677,251641247239,,195263084525,770785519532,-271603501884,,,,2025,160291494.0,
