current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year,long_term_debt,inventory
46859303175,30820839884,12296273403,2275000000,14225941102,12456212483,201711907405,102070882412,362245685934,45855822324,26007229543,12673000000,196103692384,-139302710695,166141993550,50376420169,44668145766,3292694405,1538305832,1567489538.0,1519733682.0,3116360247,118138435.0,557808923.0,-8731342090,,,,2016,,
89438327803,46859303175,45469131696,3730000000,15285913485,14225941102,199439885954,201711907405,401786611571,86963900793,45855822324,6962457487,229322244027,-136180540713,172464367544,70291534811,50376420169,5219754478,3292694405,4123804862.0,3379267569.0,6490238947,68577870.0,486456638.0,-3245127901,,,,2017,40000000000.0,
220141580390,89438327803,13144968636,186882802459,662211621,15285913485,217057212597,199439885954,506790646201,74545029186,86963900793,873671159,225840850587,-245203545866,280949795614,76076008694,69222756573,3004020462,5059254787,-101720180604.0,-112874122304.0,2053895288,117330007.0,624845845.0,-211869646083,,,,2018,31000000000.0,119543944.0
53495345434,220141580390,16309876259,10230000000,392844288,662211621,445132150763,217057212597,566146122619,250144642684,74545029186,1036616018,267765416652,-260743597018,298380705967,88449397734,76076008694,-16155230797,3004020462,-11610002751.0,-14094195795.0,-24952495665,1113797507.0,3630654699.0,-40819813072,,,,2019,69468000000.0,4150923940.0
124776944955,53095345434,58185475344,22744547721,624012615,392844288,988069406189,446132150763,1198450486219,212394202592,250744642684,80585848345,972349830072,-772278875,226100656147,16769428645,88449397734,-71384718491,-16155230797,-81541126139.0,-82068543116.0,-114489713027,,,-578890239747,,,,2020,0.0,3965343842.0
91479671292,124776944955,60686608940,15179419702,2551877845,624012615,935381937782,965268741851,1302424556614,240448304997,212394202592,43713638345,1249736890563,1510278517,52687666051,107071758778,16769428645,-131250266093,-71384718491,-208390846821.0,-200695718343.0,-50901377865,,,-74050890356,,,,2021,66437115265.0,6636477060.0
61153935710,91479671292,28601354662,9452770291,3923303489,2551877845,1342191649259,935381937782,1802776594203,1027340540479,240448304997,734006909444,1571088484599,1413557948,231688109604,183670906051,107071758778,-118719752733,-131250266093,-224037837216.0,-224708158495.0,-62856715016,,,-3653803276,,,,2022,38733244141.0,6645527073.0
80886866125,61153935710,33639841994,22944436949,4559853130,3923303489,1289380046438,1342191649259,1764111056273,1208746928929,1027340540479,760586470056,1764111056273,-972971143170,65559575853,1461736823,440477410,-60605788472,-118719752733,-11067241460.0,-202330590203.0,-13077423824,,,-19567437541,,,,2023,14604632539.0,4134584468.0
114360872494,80886866125,44328189032,22680658904,2837290713,4559853130,1690339741838,1289380046438,2166617248668,609689104711,1208746928929,2779556803,1853556860635,307711779,313060388033,186429016,1461736823,39006615340,-60605788472,,,121689939443,,,-28125852438,,,,2024,239189266908.0,6318219786.0
133128335772,114360872494,62128238823,40189555753,4926439736,2837290713,1634487074855,1690339741838,2167646813807,412662495406,609689104711,851556803,1799422076806,599101020,368224737001,292681690,186429016,143328051761,39006615340,-4468654654.0,27596636822.0,100093644817,,,-39787687028,,,,2025,0.0,6345812064.0
