date,order_imbalance,imbalance_volatility,opening_imbalance,closing_imbalance,bid_depth_ratio,spread_pct,n_snapshots
2026-05-04,0.2173561021385594,0.3300283557570485,0.2803625425088181,0.62318011541721,0.0954705451712256,0.1989544819435669,30
2026-05-05,0.3336886993585624,5.646012854083702e-17,0.3336886993585624,0.3336886993585624,0.0687450039962529,0.1869158878504603,30
2026-05-06,0.2304631522801677,0.40478796964912,0.2680452011117148,-0.0018908093724416,0.1442081024771956,0.2158758793439454,34
2026-05-07,0.694572979199434,0.3065989685437704,0.4833504579162914,0.6295732673876588,0.123067762187976,0.2061426156101389,38
2026-05-08,0.4134043811515475,0.4483470457997268,-0.1729019211307087,-0.1856824315592009,0.1059846998079327,0.2368820545459061,32
2026-05-11,0.0467603331248146,0.535855763427141,-0.2607465261316161,-0.4833485894918611,0.1729069291688615,0.1853627251033977,30
2026-05-12,-0.0003522954236715,0.4568153485458741,-0.2839227441290819,0.5900367496913432,0.1913317358167019,0.1982597753557584,27
2026-05-13,0.6628982676694787,0.2875035056379085,0.3964717725205854,0.3048539866102004,0.0939092864923803,0.2193301479454865,26
2026-05-14,0.5684096292295123,0.4875379234229954,0.8814754786320101,-0.4588766298885183,0.0745758661737031,0.2022639168192267,29
2026-05-15,0.5390776397101876,0.4229924315432568,0.7957181648251298,0.6143499621958924,0.1625183439901248,0.2134965100871393,27
2026-05-18,0.2869486145974307,0.4208792432307587,0.1532690246500185,0.2653388754943566,0.0873440628628055,0.2324047184841556,26
2026-05-19,0.4081735895159658,0.5373330172426882,-0.1037263150895048,-0.7758302582990045,0.1045672699195762,0.3311346799268391,26
2026-05-20,0.4860077753368242,0.490615011254353,0.0065722560086325,-0.0932452276061187,0.1270261837357968,0.2936042237182497,27
2026-05-21,-0.0626802559044627,0.4219073668254262,-0.1789565277563385,0.7103382761399374,0.2054318371467709,0.2158383557956461,30
2026-05-22,-0.2225837131095373,0.3416002660717738,0.8152173912969637,0.0,0.1702747784142537,0.2563662079624648,22
2026-05-25,-0.0288115246097574,0.0,-0.0288115246097574,-0.0288115246097574,0.1613102595787311,0.19531249999999234,41
