current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,long_term_debt
,,59333238619,328657262468,,,,,,500241425182,,,,121174852353,-746951075345.0,379066572829,25999026722,123852416023,,,,,,,,,,-247413613854.0,-210726008607,-318730146650,,,,2020,
,,225922278257,108417050000,,,,,,643652339296,,,,199464892917,-689141262709.0,444187446379,418644529122,25999026722,,,,,,,,,,64845640322.0,-92871732615,258971494296,,,,2021,
,,104059702567,201394030000,,,,,,664241139428,,,,347680678987,-827555384895.0,316560460441,246179120020,418644529122,,,,,,,,,,-139430877684.0,-159920061630,-95713805558,,,,2022,
,,239700042448,1418394451,,,,,,723170577189,,,,723170577189,-861560729006.0,320951194568,354891555524,246179120020,,,,,,,,,,-35379488498.0,-94201249075,225272590659,,,,2023,
,,322806911402,1681752471,,,,,,1036810779623,,,,462826530311,,573984249312,547596283214,354891555524,,,,,,,,,,226973435375.0,94899993001,-10940812689,,,,2024,
,,307770519305,1711367837,,,,,,1198308575535,,,,372039049706,,826269525829,706740960308,547596283214,,,,,,,203938471064.0,96339659521.0,,,176333532013,-35420110199,,,,2025,
