current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
229593939625,250435093362,56067082839,74023353310.0,70111710520.0,54149523240,118824400803,117735985422,385686829189,81055782589,54722231683,15324414497,1577212407,87057692261,134939198280,298629136928,311217960775,297142615636,291265230087,231215643098,19952730688,65926972538,43621263862,29497684370,-23668533174,36429288168,-16803915875,-17243617954,48828129335,-32985737945,,,,2016,
215877004456,229593939625,44907739308,85337101729.0,74023353310.0,65115330964,149151121581,118824400803,387936614209,80947176618,81055782589,30007244575,0,86058342103,170413676776,301878272106,312226959147,311217960775,238323596503,291265230087,73903362644,19952730688,38496244576,43621263862,35407118068,-23668533174,41863291599,38951795971,-3078057208,-13943910494,,,,2017,
386706351128,215877004456,40085289010,155162106513.0,90416637858.0,148059336247,176022376743,149151121581,606391654468,225779832730,80947176618,121030327129,56702980605,287876391545,170613167082,318515262923,502207595937,312226959147,420772770162,238323596503,81434825775,73903362644,48690186517,38496244576,32744639258,35407118068,6782991549,7055958731,-20528787212,-61656985365,,,,2018,4592876934.0
426678467148,386706351128,83891363379,164462751635.0,155162106513.0,118941642328,227849489246,176022376743,735606528549,276320667623,225779832730,142555950297,56441648720,365772481128,195756017905,369834047421,799390727329,502207595937,685775110385,420772770162,113615616944,81434825775,53479678639,48690186517,60135938305,32744639258,39861445056,34682366867,85674844573,-66353790650,,,,2019,3660033437.0
547155222350,426678467148,91779175968,203425471097.0,164462751635.0,204451551485,272470195125,227849489246,880657688570,332186510623,313779088609,146130062719,0,437128951622,218551690753,443528736948,969066819918,799390727329,821079064070,685775110385,147987755848,113615616944,50413293971,53479678639,97574461877,60135938305,57800990084,33598765925,23987795324,-110311938061,,,,2020,3890087930.0
1072915913571,547155222350,261808747470,398374411620.0,203425471097.0,350897256861,509955190836,272470195125,1773903614452,572665722799,332186510623,187909628050,0,827086993267,267851221816,946816621185,1203418059900,969066819918,1031164627073,821079064070,172253432827,147987755848,71287483885,50413293971,100965948942,97574461877,89382000638,64744833476,-105391088714,-300559233996,,,,2021,4361646657.0
1005887147293,1072915913571,191619255275,366299064611.0,398374411620.0,381836060564,532200475125,509955190836,1779540149764,623838051512,572665722799,232685507985,26917172758,854871284096,239175556346,924668865668,1374893317788,1195036447011,1238716660142,1023649178315,136176657646,171387268696,94054717332,70262858231,42121940314,101124410465,1737792056,-9830182561,150825432173,-105307133350,,,,2022,327302363.0
1352942897287,1005500112869,207120648764,403946517191.0,366153679235.0,582190023079,915620802572,529130783426,2832647674558,1417059643340,623838051512,384086640434,5353994690,2832647674558,241298569283,944418879016,1520162115494,1374893317788,1314306258112,1238716660142,205855857382,136176657646,101189755768,94054717332,104666101614,42121940314,4983632933,18936302304,110835749804,-235889632149,,,,2023,14602766614.0
1828066183450,1352426171287,359179652727,598494092481.0,403429791191.0,657089067576,1132738425564,928653780572,3609483010970,1480639888675,1430899670800,425484532910,0,3609483010970,361280313425,1200264992078,3072529196695,1520162115494,2668087796639,1313193467324,404441400056,206968648170,148959449727,102772192918,255481950329,104196455252,28098751910,143668438531,49066517562,-211677513016,,,,2024,11054000000.0
1641319307450,1828066183450,478878903508,,,501636060376,1020575429062,1132738425564,3216594965195,1127761664804,1480639888675,242475043746,0,2014922275678,554596896056,1201672689517,9873949940,19413374115,2463405547090,2668087796639,468243034359,404441400056,147919856058,148959449727,320323178301,255481950329,13738889707,40133098937,527705949520,-96024464160,,,,2025,15607988191.0
