current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,641643982034,236747907827,,,,,,5484117180416,,,,,1781173329468,303952022714,3702943850948,,,116135055801.0,88588297005.0,,65455116983,317259108666,-1000011073302,,,,2016,
,,1116793072509,394151746038,,,,,,6349428454887,,,,,1841608649520,402542351524,4507819805367,,,,,,125093899312,371927059524,-354669092910,,,,2017,
,,1247013249518,924215115420,,,,,,7959542105267,,,,,2332384540899,453400467566,5627157564368,,,,,,15888859209,491469889907,-1260721862120,,,,2018,
,,1918225198949,207766855476,,,,,,8737255755774,,,,,2997138004486,148154241860,5740117751288,,,,,,-341924578348,752667420203,-414187466660,,,,2019,
,,2877513939692,694068762001,,,,,,11954146190738,,,,,4542386717365,301009092939,7411759473373,,,,,,168978904480,971096476573,-1260695789332,,,,2020,
,,5231503744581,1573559403457,,,,,,22784559108590,,,,,9216225462911,1689444597928,13568333645679,,,,,,1640484195406,1306571526446,-3341008649973,,,,2021,
,,4780244024656,1210213106081,,,,,,22963651561449,,,,,9447968971124,3031364569915,13515682590325,,,,,,1066994242805,678376491408,-1574104586648,,,,2022,16175374775.0
,,120412073981,1661509491267,,,,,,25179968939321,,,,,25179968939321,1922136928615,13858599224126,,,,,,-1816669011014,1341098333644,-1779932042360,,,,2023,67375413388.0
,,6145133028198,1402715357764,,,,,,25773028304462,,,,,25773028304462,1943498463402,13942894159737,,,,,,-161870567171,1250459006332,10422744601,,,,2024,95460022700.0
,,6373784263399,1959571956511,,,,,,27783524545811,,,,,27783524545811,2684520360647,15224922016050,,,732036535379.0,495277757353.0,,517959587282,1404762595727,-478201170293,,,,2025,173572048270.0
