date,name,position,change_dir,shares_before,shares_after,change_amount
2024-03-27,이승열,,,0,0,0
2024-03-27,이재술,,,0,0,0
2024-03-27,김홍진,,,0,0,0
2024-03-27,양동훈,,,0,0,0
2024-03-27,허윤,,,0,0,0
2024-06-21,주영섭,,,0,0,0
2024-08-14,이승열,,,0,0,0
2024-08-14,이재민,,,0,0,0
2024-09-06,윤심,,,0,0,0
2024-12-11,박종무,,,0,0,0
2024-12-11,김미숙,,,0,0,0
2024-12-17,박근훈,,,0,0,0
2024-12-30,강재신,,,0,0,0
2024-12-30,이승열,,,0,0,0
2024-12-30,강성묵,,,0,0,0
2024-12-30,강정한,,,0,0,0
2024-12-31,함영주,,,0,0,0
2025-01-07,양재혁,,,0,0,0
2025-01-07,이선용,,,0,0,0
2025-01-07,강정한,,,0,0,0
2025-01-07,성영수,,,0,0,0
2025-01-07,남호식,,,0,0,0
2025-01-07,이은형,,,0,0,0
2025-01-09,박병준,,,0,0,0
2025-01-09,이승열,,,0,0,0
2025-01-17,조범준,,,0,0,0
2025-01-24,서중근,,,0,0,0
2025-02-06,정은혜,,,0,0,0
2025-02-06,김영호,,,0,0,0
2025-03-06,이승열,,,0,0,0
2025-03-21,정은혜,,,0,0,0
2025-03-26,이정원,,,0,0,0
2025-04-04,이승열,,,0,0,0
2025-04-08,오정택,,,0,0,0
2025-04-11,이승열,,,0,0,0
2025-04-11,조범준,,,0,0,0
2025-04-16,강재신,,,0,0,0
2025-04-18,서영숙,,,0,0,0
2025-04-21,이승열,,,0,0,0
2025-04-24,엄태성,,,0,0,0
2025-04-25,이승열,,,0,0,0
2025-06-02,이재술,,,0,0,0
2025-07-15,서영숙,,,0,0,0
2025-09-26,이재술,,,0,0,0
2025-10-29,김기홍,,,0,0,0
2025-11-17,김기홍,,,0,0,0
2025-12-19,남호식,,,0,0,0
2026-01-08,김미숙,,,0,0,0
2026-01-08,정은혜,,,0,0,0
2026-01-08,서중근,,,0,0,0
2026-01-08,김진우,,,0,0,0
2026-03-25,이강원,,,0,0,0
2026-03-25,조범준,,,0,0,0
2026-04-08,이승열,,,0,0,0
2026-04-15,강성묵,,,0,0,0
2026-05-06,이준혁,,,0,0,0
2026-05-08,엄태성,,,0,0,0
2024-08-14,이승열,,,0,0,0
2024-08-14,이재민,,,0,0,0
2024-09-06,윤심,,,0,0,0
2024-12-11,박종무,,,0,0,0
2024-12-11,김미숙,,,0,0,0
2024-12-17,박근훈,,,0,0,0
2024-12-30,강재신,,,0,0,0
2024-12-30,강정한,,,0,0,0
2024-12-30,강성묵,,,0,0,0
2024-12-30,이승열,,,0,0,0
2024-12-31,함영주,,,0,0,0
2025-01-07,강정한,,,0,0,0
2025-01-07,양재혁,,,0,0,0
2025-01-07,이은형,,,0,0,0
2025-01-07,남호식,,,0,0,0
2025-01-07,성영수,,,0,0,0
2025-01-07,이선용,,,0,0,0
2025-01-09,박병준,,,0,0,0
2025-01-09,이승열,,,0,0,0
2025-01-17,조범준,,,0,0,0
2025-01-24,서중근,,,0,0,0
2025-02-06,정은혜,,,0,0,0
2025-02-06,김영호,,,0,0,0
2025-03-06,이승열,,,0,0,0
2025-03-21,정은혜,,,0,0,0
2025-03-26,이정원,,,0,0,0
2025-04-04,이승열,,,0,0,0
2025-04-08,오정택,,,0,0,0
2025-04-11,이승열,,,0,0,0
2025-04-11,조범준,,,0,0,0
2025-04-16,강재신,,,0,0,0
2025-04-18,서영숙,,,0,0,0
2025-04-21,이승열,,,0,0,0
2025-04-24,엄태성,,,0,0,0
2025-04-25,이승열,,,0,0,0
2025-06-02,이재술,,,0,0,0
2025-07-15,서영숙,,,0,0,0
2025-09-26,이재술,,,0,0,0
2025-10-29,김기홍,,,0,0,0
2025-11-17,김기홍,,,0,0,0
2025-12-19,남호식,,,0,0,0
2026-01-08,김미숙,,,0,0,0
2026-01-08,정은혜,,,0,0,0
2026-01-08,서중근,,,0,0,0
2026-01-08,김진우,,,0,0,0
2026-03-25,이강원,,,0,0,0
2026-03-25,조범준,,,0,0,0
2026-04-08,이승열,,,0,0,0
2026-04-15,강성묵,,,0,0,0
2026-05-06,이준혁,,,0,0,0
2026-05-08,엄태성,,,0,0,0
2026-06-02,박동문,,,0,0,0
2026-06-12,이재술,,,0,0,0
2026-06-30,박동문,,,0,0,0
