timestamp,bid_price_1,ask_price_1,bid_total,ask_total,imbalance_ratio,note
2026-03-11 09:00:46,0,0,0,0,1.0,no_orderbook_api
2026-03-11 09:30:49,0,0,0,0,1.0,no_orderbook_api
2026-03-11 10:03:22,0,0,0,0,1.0,no_orderbook_api
2026-03-11 10:30:46,0,0,0,0,1.0,no_orderbook_api
2026-03-11 11:00:48,0,0,0,0,1.0,no_orderbook_api
2026-03-11 11:32:38,0,0,0,0,1.0,no_orderbook_api
2026-03-11 12:02:15,0,0,0,0,1.0,no_orderbook_api
2026-03-11 13:28:48,0,0,0,0,1.0,no_orderbook_api
2026-03-11 13:30:49,0,0,0,0,1.0,no_orderbook_api
2026-03-11 14:00:50,0,0,0,0,1.0,no_orderbook_api
2026-03-11 14:38:03,0,0,0,0,1.0,no_orderbook_api
2026-03-11 15:00:57,0,0,0,0,1.0,no_orderbook_api
