current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,depreciation,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,1505242000000,468768000000,,,,,,31297663000000,,,,,15181233000000,15953164000000,16116430000000,17091816000000.0,17136734000000.0,2941886000000,1535744000000.0,1708006000000.0,,1660101000000.0,4243168000000,-2462208000000,,,,2016
,,1457735000000,616780000000,,,,,,33428669000000,,,,,15399474000000,17835946000000,18029195000000,17520013000000.0,17091816000000.0,3097466000000,,,,2657595000000.0,3855820000000,-3070607000000,,,,2017
,,1506699000000,1045676000000,,,,,,42369111000000,,,,,20019861000000,22144541000000,22349250000000,16873960000000.0,17520013000000.0,3126118000000,,,,3131988000000.0,4332580000000,-4047725000000,,,,2018
,,1270824000000,830647000000,,,,,,44611620000000,,,,,21788084000000,22235285000000,22823536000000,17743702000000.0,16873960000000.0,3771486000000,,,,861942000000.0,3986082000000,-3582523000000,,,,2019
,,1369653000000,1426952000000,,,,,,47906957000000,,,,,23510714000000,22981913000000,24396243000000,18624651000000.0,17740716000000.0,3991083000000,,,,1500538000000.0,5821876000000,-4250402000000,,,,2020
,,872731000000,508677000000,,,,,,30911277000000,,,,,18576139000000,22437341000000,12335138000000,16748585000000.0,16087747000000.0,3672555000000,,,,2418989000000.0,5031279000000,-3486189000000,,,,2021
,,1882291000000,237230000000,,,,,,31308262000000,,,,,19153066000000,22463711000000,12155196000000,17304973000000.0,16748585000000.0,3621325000000,,,,947831000000.0,5159317000000,-2807795000000,,,,2022
,,1454978000000,294934000000,,,,,,30119227000000,,,,,30119227000000,22799981000000,12228399000000,,,3614766000000,1753204000000.0,1612070000000.0,,,4947205000000,-3352905000000,,,,2023
,,2023721000000,323890000000,,,,,,30515255000000,,,,,18687621000000,22976127000000,11827634000000,17940609000000.0,17608511000000.0,3560374000000,1823409000000.0,1753204000000.0,,1387095000000.0,5087285000000,-2711827000000,,,,2024
,,1490024000000,151426000000,,,,,,30107783000000,,,,,17152491000000,22938268000000,12955292000000,17099213000000.0,17940609000000.0,3467134000000,1073215000000.0,1823409000000.0,,375084000000.0,3923847000000,-1737109000000,,,,2025
