,Close,High,Low,Open,Volume,"('Close', 'GC=F')","('High', 'GC=F')","('Low', 'GC=F')","('Open', 'GC=F')","('Volume', 'GC=F')","('Close', 'GC=F').1","('High', 'GC=F').1","('Low', 'GC=F').1","('Open', 'GC=F').1","('Volume', 'GC=F').1","('Close', 'GC=F')","('High', 'GC=F')","('Low', 'GC=F')","('Open', 'GC=F')","('Volume', 'GC=F')"
2026-04-13,4742.39990234375,4742.39990234375,4704.0,4704.0,32,,,,,,,,,,,,,,,
2026-04-14,4825.0,4841.60009765625,4770.10009765625,4770.10009765625,288,,,,,,,,,,,,,,,
2026-04-15,4800.0,4843.60009765625,4798.0,4843.60009765625,182,,,,,,,,,,,,,,,
2026-04-16,4785.39990234375,4810.89990234375,4785.39990234375,4810.89990234375,182,,,,,,,,,,,,,,,
2026-04-17,4849.39990234375,4917.7001953125,4785.89990234375,4811.7998046875,130225,,,,,,,,,,,,,,,
2026-04-20,,,,,,4806.60009765625,4811.0,4770.0,4793.89990234375,724.0,,,,,,,,,,
2026-04-21,,,,,,4698.39990234375,4705.0,4676.39990234375,4698.39990234375,1197.0,,,,,,,,,,
2026-04-22,,,,,,4732.5,4754.2001953125,4732.5,4754.2001953125,765.0,,,,,,,,,,
2026-04-23,,,,,,4705.10009765625,4732.39990234375,4705.10009765625,4711.5,765.0,,,,,,,,,,
2026-04-24,,,,,,4725.39990234375,4757.10009765625,4672.2001953125,4715.60009765625,100809.0,,,,,,,,,,
2026-04-27,,,,,,,,,,,,,,,,4675.39990234375,4711.10009765625,4675.39990234375,4707.60009765625,538.0
2026-04-28,,,,,,,,,,,,,,,,4591.5,4680.89990234375,4591.5,4680.89990234375,2660.0
2026-04-29,,,,,,,,,,,,,,,,4545.2001953125,4601.60009765625,4515.7001953125,4598.60009765625,507.0
2026-04-30,,,,,,,,,,,,,,,,4614.7001953125,4636.7001953125,4561.89990234375,4561.89990234375,507.0
2026-05-01,,,,,,,,,,,,,,,,4625.60009765625,4673.0,4570.0,4636.89990234375,91619.0
Date,,,,,,,,,,,,,,,,,,,,
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,,,,,,,,,,,,,,
