timestamp,bid_price_1,ask_price_1,bid_total,ask_total,imbalance_ratio,note
2026-03-10 09:16:41,0,0,0,0,1.0,no_orderbook_api
2026-03-10 10:01:54,0,0,0,0,1.0,no_orderbook_api
2026-03-10 10:44:37,0,0,0,0,1.0,no_orderbook_api
2026-03-10 11:03:53,0,0,0,0,1.0,no_orderbook_api
2026-03-10 11:30:17,0,0,0,0,1.0,no_orderbook_api
2026-03-10 12:10:34,0,0,0,0,1.0,no_orderbook_api
2026-03-10 12:33:05,0,0,0,0,1.0,no_orderbook_api
2026-03-10 13:06:05,0,0,0,0,1.0,no_orderbook_api
2026-03-10 14:05:00,0,0,0,0,1.0,no_orderbook_api
2026-03-10 14:31:37,0,0,0,0,1.0,no_orderbook_api
