year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,2839232141,-3074189551,107194785976,99288437871,2839232141,107194785976,0.0796,1.9236,0.0,0.7937,1.0
2021,Q4,1230300206,2839232141,133217506628,107194785976,1230300206,133217506628,0.2428,-0.5667,0.0,-0.5313,-1.0
2022,Q4,2045667031,1230300206,153575649263,133217506628,2045667031,153575649263,0.1528,0.6627,0.0,0.57,1.0
2023,Q4,25857169613,2045667031,208061479027,153575649263,25857169613,208061479027,0.3548,11.64,0.0,0.9588,1.0
2024,Q1,8821693841.0,0,126481424.0,0.0,8821693841.0,126481424.0,0,8821693841.0,0.0,0.0,0.0
2024,Q2,14399637828.0,0,75089897014.0,0.0,14399637828.0,75089897014.0,0,14399637828.0,0.0,0.0,0.0
2024,Q3,-1867392900.0,0,44789173007.0,0.0,-1867392900.0,44789173007.0,0,-1867392900.0,0.0,0.0,0.0
2024,Q4,6311648229,25857169613,207326568063,208061479027,6311648229,207326568063,-0.0035,-0.7559,0.0,-0.6019,-1.0
2025,Q1,1599388705.0,0,97259495.0,0.0,1599388705.0,97259495.0,0,1599388705.0,0.0,0.0,0.0
2025,Q2,1322860055.0,0,56551289696.0,0.0,1322860055.0,56551289696.0,0,1322860055.0,0.0,0.0,0.0
2025,Q3,539736800.0,0,55603044857.0,0.0,539736800.0,55603044857.0,0,539736800.0,0.0,0.0,0.0
2025,Q4,7551422708,6311648229,231577035770,207326568063,7551422708,231577035770,0.117,0.1964,0.0,0.282,1.0
