current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,depreciation
46982982827,46167079475,1549751056,24209647648,21463402921,20308992340,43539090313,46232433179,96014730139,50741546485,49865450577,34400643953,2301335400,54596619006,-2863467120,41418111133,87687298653,80378015013,73440276691,68505135253,14247021962,11872879760,12350699571,11718618204,1896322391,154261556,300761657,702620633,7402084383,-3629677708,246300103,,,,2016,
46618559394,46982982827,1012835628,25286055697,24209647648,19485875454,40157006882,43539090313,91000435960,48682280319,50741546485,34674438723,634940000,51496983841,-2425224773,39503452119,92259444165,87687298653,75723549798,73440276691,16535894367,14247021962,15661662679,12350699571,874231688,1896322391,7691293,490161065,3894901301,-1961936864,260018975,,,,2017,
49141209382,46618559394,1024824906,24539849605,25286055697,23047256200,43841927991,40157006882,97013283328,50345846737,48682280319,36631242782,1400640000,54751854612,-4336390707,42261428716,91355589876,92259444165,73101477701,75723549798,18254112175,16535894367,18105449738,15661662679,148662437,874231688,-1663682889,-1640497461,1014708025,-3389723094,60000000,,,,2018,
49097281481,49141209382,2909066216,22350585844,24539849605,16780669238,42653311457,43841927991,95653165835,51883851314,50345846737,29327018900,500000000,54500406555,-9819086892,41152759280,99288437871,91355589876,88459400150,73101477701,10829037721,18254112175,13903227272,18105449738,-3074189551,148662437,-5319065070,-5061670158,9624722511,-9435235267,115950000,,,,2019,
68526484599,49097281481,1918525893,27485576545,22350585844,17144986407,55691910016,42653311457,141629089475,56984443756,51883851314,42051871944,250000000,68629088268,3686869844,73000001207,107194785976,99288437871,91911078079,88459400150,15283707897,10829037721,12444475756,13903227272,2839232141,-3074189551,15285055101,13637598255,579522885,-23247879697,168505097,,,,2020,
124804885301,68526484599,5162489078,35503984241,27485576545,74128519328,34453924325,55691910016,198862450378,80274299683,56984443756,56734498081,2036506641,105970193334,6906828954,92892257044,133217506628,107194785976,115524415410,91911078079,17693091218,15283707897,16462791012,12444475756,1230300206,2839232141,3405986421,3169688848,-11656893260,-12266432637,54530890,,,,2021,
153252733651,124804885301,36753095982,42144308800,35503984241,63660812024,38736806817,34453924325,232120601328,98699485128,80274299683,52703764115,1170285476,149130896613,3098287622,82989704715,153575649263,133217506628,129121102569,115524415410,24454546694,17693091218,22408879663,16462791012,2045667031,1230300206,-5580989445,-4192458477,39413519770,-24680281524,2563882,,,,2022,
166800638556,153252733651,47585265593,64528710341,42144308800,43475021894,61167624391,38736806817,269874614734,142854598458,98699485128,35914917115,6315224271,269874614734,20447461726,102055289483,208061479027,153575649263,161906025098,129121102569,46155453929,24454546694,20298284316,22408879663,25857169613,2045667031,5350365363,17583612418,4542419694,-3506270366,0,,,,2023,
189750127718,166800638556,36916097651,73501854834,64528710341,47316159308,104351707891,61045971072,367331808054,167849424705,142854598458,46476394895,9134131834,367331808054,49902859437,143473786324,207326568063,208061479027,171363750718,161906025098,35962817345,46155453929,29651169116,20298284316,6311648229,25857169613,-5033006478,8076765671,25180275767,-96761682632,254487934,,,,2024,8000000000.0
218336146179,189750127718,29570550928,93930213280,73501854834,46536397548,107805603061,104351707891,581089727261,250306459037,167849424705,168601403106,0,581089727261,141066746058,254010360797,231577035770,207326568063,187324059426,171363750718,44252976344,35962817345,36701553636,29651169116,7551422708,6311648229,26295854278,91043267859,20087039309,-89406579352,236768362,,,,2025,8000001000.0
