current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
1557644969248,1631507429456,163517696507,624899422262,590789356685,549115183821,2951767538093,2997568946936,5121661354505,2334570027154,2262319252731,836295206307,750079160558,3907577804157,53938182571.0,1214083550348,2947227755079,3040406690111,2201751973960,2265091747260,745475781119,775314942851,625425242907,639352318156,120050538212,135962624695,-37771121500,-37895035342,188347713416,-264899232632,,,,2016,
1494725762417,1631406147814,152031383347,646259370233,698660600828,546974201655,2776571900191,2886398357825,4543611959645,2434995250768,2408331205720,760030581645,878286823795,3614563297290,-130755034605.0,929048662355,2876420253183,2947227755079,2422209524372,2209999827776,454210728811,737227927303,618460624961,625425242907,-164249896150,111802684396,-132255772100,-112339292727,51448463550,-83675463961,,,,2017,
1317250558164,1494725762417,271834340316,455954106888,646259370233,458636318506,2579912362353,2776571900191,4221394925703,1220908628488,2434995250768,507026686956,134582893611,2879661517573,-313755114102.0,1341733408130,2558681154748,2876420253183,2189453334416,2422209524372,369227820332,454210728811,467428641221,618460624961,-98200820889,-164249896150,-193669779982,-191930087361,93245122844,-167173496817,,,,2018,58579124908.0
1073728850011,1317250558164,109547867108,416251276679,455954106888,420766510250,2468048942949,2579912362353,3929463543364,937674497773,1220908628488,404547368501,89823535020,2636829376191,-373713948569.0,1292634167173,2369198863879,2558681154748,1835442357942,2104436085838,533756505937,454245068910,476360988497,552445889799,57395517440,-98200820889,-39030631957,-43403023052,146511450085,-98171863834,,,,2019,48818575200.0
1154988857051,1073728850011,155745273082,457278973093,416251276679,406544087484,2297453287405,2468048942949,3846201934226,950430622320,937674497773,366401634012,95977608434,2678607274211,-482171137042.0,1167594660015,2170677305382,2369198863879,1698239370613,1835442357942,472437934769,533756505937,476908712414,476360988497,-4470777645,57395517440,-86861066550,-82939299960,224259262950,-76489759120,,,,2020,46928282999.0
1553028645650,1154988857051,300956520520,543408128412,457278973093,588030581304,2391911149579,2297453287405,4342205985504,1500526343781,950430622320,483370610553,253574502160,3060638117114,-563269233531.0,1281567868390,2601223215947,2170677305382,2138314118657,1698239370613,462909097290,472437934769,504426937549,476908712414,-41517840259,-4470777645,-75166841941,-71850672717,80409575997,-106733651102,,,,2021,45701943768.0
1764940163323,1553028645650,173210443269,638095861937,543408128412,814675897932,2531313074119,2391911149579,4694985403484,2342835848721,1500526343781,956816603578,533737872070,3450429792209,-614340857092.0,1244555611275,3559158461842,2601223215947,2954773583032,2138314118657,604384878810,462909097290,581249208293,504426937549,23135670517,-41517840259,-84043708970,-77469716124,-180048994405,-332369154001,,,,2022,42025952961.0
2002202864697,1764940163323,258508607099,806693676467,638095861937,721715865667,2474493257302,2531313074119,4830981257390,1886332067676,2342835848721,2031365729325,273935140000,4830981257390,-476405610598.0,1399056998591,4041412157685,3559158461842,2931341194069,2954773583032,1110070963616,604384878810,699060465126,581249208293,411010498490,23135670517,227130569144,171848469734,505161120982,-200950961436,,,,2023,78256905811.0
2335000622135,2002202864697,207805561536,1062664602867,806693676467,969200456066,2653315532288,2474493257302,5362836776663,2258019237755,1886332067676,1050741246510,97994263443,5362836776663,,1904822013747,163022132968,134750153607,3149928478291,2931341194069,1382249445688,1110070963616,793657733828,699060465126,588591711860,411010498490,81659177299,351617959521,519916196680,-157673845000,,,,2024,17715886284.0
2584843412507,2335000622135,574762190002,981568693203,1062664602867,908808165238,2569035829529,2653315532288,5539548526344,2263383931022,2258019237755,995816495352,114618453470,5539548526344,122172781474.0,2238707317451,282012972146,163022132968,3248253603073,3149928478291,1453028472421,1382249445688,877169174137,793657733828,575859298284,588591711860,83242026634,376772981397,915296220859,-196095195624,,,,2025,21376063928.0
