close,high,low,open,volume
9890.0,10375.0,9860.0,10375.0,0
9885.0,9995.0,9805.0,9890.0,3058139
9650.0,9945.0,9605.0,9885.0,3827607
9600.0,9710.0,9540.0,9650.0,2416233
9660.0,9730.0,9590.0,9605.0,1892162
9720.0,9780.0,9645.0,9655.0,1731503
9815.0,9830.0,9645.0,9715.0,1848408
9722.0,9920.0,9710.0,9815.0,2099988
9605.0,9735.0,9600.0,9722.0,1645853
9625.0,9640.0,9555.0,9600.0,1487950
9700.0,9700.0,9570.0,9625.0,1360127
9615.0,9765.0,9580.0,9700.0,1356000
9670.0,9675.0,9560.0,9620.0,969450
9830.0,9865.0,9650.0,9670.0,1469133
9770.0,9855.0,9730.0,9835.0,681657
9835.0,9875.0,9725.0,9770.0,814927
9890.0,9900.0,9815.0,9835.0,664803
9850.0,9940.0,9770.0,9890.0,995216
9880.0,9935.0,9815.0,9855.0,1005261
9840.0,9910.0,9810.0,9875.0,685374
9870.0,9895.0,9770.0,9850.0,851456
9900.0,9980.0,9810.0,9875.0,913785
9955.0,9980.0,9875.0,9895.0,617748
9960.0,9980.0,9890.0,9950.0,548273
9955.0,9965.0,9867.0,9965.0,682430
9920.0,10010.0,9887.0,9960.0,954659
9950.0,9970.0,9890.0,9920.0,486292
9780.0,9965.0,9770.0,9950.0,937779
9700.0,9800.0,9680.0,9785.0,1231458
9675.0,9720.0,9650.0,9700.0,670615
9730.0,9745.0,9660.0,9675.0,425980
9765.0,9780.0,9710.0,9730.0,379175
9815.0,9815.0,9755.0,9770.0,289534
9740.0,9845.0,9735.0,9810.0,309784
9705.0,9750.0,9680.0,9740.0,420716
9735.0,9755.0,9695.0,9700.0,420702
9670.0,9755.0,9665.0,9735.0,464860
9640.0,9697.0,9635.0,9670.0,534447
9640.0,9655.0,9635.0,9640.0,318197
9635.0,9670.0,9630.0,9640.0,374540
9605.0,9645.0,9575.0,9635.0,862536
9567.0,9615.0,9565.0,9600.0,720140
9595.0,9620.0,9560.0,9565.0,374884
9600.0,9635.0,9575.0,9595.0,604971
9580.0,9600.0,9555.0,9600.0,515404
9620.0,9625.0,9545.0,9585.0,763971
9575.0,9635.0,9535.0,9620.0,746589
9570.0,9585.0,9535.0,9572.0,405483
9540.0,9600.0,9530.0,9565.0,668999
9520.0,9545.0,9510.0,9540.0,491695
9455.0,9515.0,9450.0,9515.0,1075554
9410.0,9455.0,9395.0,9450.0,1124082
9425.0,9440.0,9385.0,9410.0,539492
9510.0,9540.0,9425.0,9430.0,685246
9435.0,9500.0,9410.0,9500.0,556888
9405.0,9435.0,9390.0,9430.0,500873
9345.0,9405.0,9335.0,9405.0,743165
9375.0,9407.0,9335.0,9345.0,616180
9460.0,9500.0,9380.0,9385.0,762313
9510.0,9530.0,9445.0,9460.0,480318
9575.0,9585.0,9470.0,9505.0,624358
9540.0,9585.0,9535.0,9570.0,461064
9525.0,9575.0,9485.0,9540.0,333178
9510.0,9570.0,9490.0,9525.0,321527
9550.0,9570.0,9490.0,9510.0,299754
9450.0,9580.0,9440.0,9550.0,621402
9415.0,9465.0,9390.0,9455.0,658745
9390.0,9420.0,9375.0,9410.0,476763
9370.0,9405.0,9360.0,9390.0,680677
9265.0,9375.0,9240.0,9375.0,1851769
9255.0,9365.0,9250.0,9275.0,965130
9240.0,9320.0,9240.0,9255.0,870464
