date,name,position,change_dir,shares_before,shares_after,change_amount
2024-07-01,권재중,,,0,0,0
2024-07-01,빈대인,,,0,0,0
2025-04-24,윤석준,,,0,0,0
2025-05-12,강종훈,,,0,0,0
2025-05-12,권재중,,,0,0,0
2025-05-12,빈대인,,,0,0,0
2025-05-12,이한창,,,0,0,0
2025-05-12,최명희,,,0,0,0
2025-05-12,박성욱,,,0,0,0
2025-05-12,문경호,,,0,0,0
2025-05-12,안수일,,,0,0,0
2025-09-04,안수일,,,0,0,0
2026-01-05,이광준,,,0,0,0
2026-04-10,박혜진,,,0,0,0
2025-04-24,윤석준,,,0,0,0
2025-05-12,권재중,,,0,0,0
2025-05-12,강종훈,,,0,0,0
2025-05-12,빈대인,,,0,0,0
2025-05-12,이한창,,,0,0,0
2025-05-12,박성욱,,,0,0,0
2025-05-12,문경호,,,0,0,0
2025-05-12,안수일,,,0,0,0
2025-05-12,최명희,,,0,0,0
2025-09-04,안수일,,,0,0,0
2026-01-05,이광준,,,0,0,0
2026-04-10,박혜진,,,0,0,0
2026-05-28,강종훈,,,0,0,0
2026-05-28,박성욱,,,0,0,0
2026-05-28,김태호,,,0,0,0
2026-05-28,이한창,,,0,0,0
2026-05-28,김주성,,,0,0,0
2026-05-28,이동렬,,,0,0,0
2026-05-28,이광준,,,0,0,0
2026-05-28,빈대인,,,0,0,0
2026-05-28,홍명종,,,0,0,0
