ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
97230,24700,782,24750,197,24800,242,24850,196,24900,1115,24650,348,24600,944,24550,14627,24500,3889,24450,1409,2532,21217,0.7867699692615323,50,0.2028397565922097,0.0164019418390835,2026-05-14 09:04:24
97230,24750,1154,24800,1696,24850,303,24900,452,24950,320,24700,614,24650,1484,24600,3588,24550,11987,24500,4238,3925,21911,0.6961603963459141,50,0.2024291497974888,0.0280224544749084,2026-05-14 09:21:44
97230,24600,531,24650,1951,24700,1188,24750,1500,24800,4159,24550,14331,24500,5954,24450,700,24400,2469,24350,1210,9329,24664,0.4511222898830785,50,0.2036659877799577,0.5810493026270754,2026-05-14 09:31:59
97230,24400,296,24450,17,24500,1060,24550,1701,24600,781,24350,2208,24300,5299,24250,798,24200,1730,24150,4073,3855,14108,0.5707843901349603,50,0.2053388090348232,0.1565069464132715,2026-05-14 09:42:38
97230,24650,1232,24700,687,24750,1671,24800,4089,24850,513,24600,988,24550,2826,24500,11137,24450,2161,24400,995,8192,18107,0.3770105327197319,50,0.2032520325202425,0.054564533053485,2026-05-14 09:52:41
97230,24650,246,24700,1126,24750,1763,24800,4257,24850,625,24600,3418,24550,3883,24500,13402,24450,255,24400,1217,8017,22175,0.4689321674614239,50,0.2032520325202425,0.1541375422772698,2026-05-14 10:02:16
97230,24650,17,24700,463,24750,2201,24800,4253,24850,626,24600,357,24550,2385,24500,16253,24450,1331,24400,1456,7560,21782,0.4846977029512355,50,0.2032520325202425,0.016389679551916,2026-05-14 10:10:53
97230,24750,1007,24800,3039,24850,951,24900,1931,24950,1124,24700,907,24650,1563,24600,1757,24550,3729,24500,16449,8052,24405,0.5038358443477512,50,0.2024291497974888,0.0371645154681265,2026-05-14 10:19:42
97230,24850,453,24900,2024,24950,1036,25000,5731,25050,1972,24800,1648,24750,863,24700,2365,24650,5270,24600,2122,11216,12268,0.0447964571623042,50,0.2016129032257251,0.1343332246493851,2026-05-14 10:29:52
97230,24700,381,24750,1003,24800,866,24850,1809,24900,972,24650,5413,24600,2892,24550,4278,24500,18213,24450,1504,5031,32300,0.7304652969380059,50,0.2028397565922097,0.1675851393188335,2026-05-14 10:39:08
97230,24600,428,24650,1989,24700,572,24750,366,24800,1269,24550,4215,24500,17996,24450,1572,24400,1752,24350,3463,4624,28998,0.7249420022602092,50,0.2036659877799577,0.1453548520587125,2026-05-14 10:48:44
97230,24450,2021,24500,1,24550,752,24600,1317,24650,401,24400,180,24350,3481,24300,5151,24250,1098,24200,3888,4492,13798,0.5088026243846315,50,0.2049180327868012,0.0130453688940331,2026-05-14 10:57:02
97230,24450,2464,24500,318,24550,592,24600,1307,24650,400,24400,641,24350,14563,24300,6289,24250,1981,24200,3195,5081,26669,0.6799370078738016,50,0.2049180327868012,0.0240353969027619,2026-05-14 11:04:52
97230,24600,208,24650,824,24700,939,24750,915,24800,850,24550,575,24500,2240,24450,1049,24400,8252,24350,15685,3736,27801,0.7630719472363373,50,0.2036659877799577,0.0206827092550553,2026-05-14 11:13:45
97230,24650,772,24700,429,24750,156,24800,858,24850,733,24600,586,24550,2735,24500,3668,24450,1049,24400,2200,2948,10238,0.552859092976981,50,0.2032520325202425,0.0572377417463789,2026-05-14 11:22:36
97230,24600,351,24650,808,24700,877,24750,358,24800,870,24550,3552,24500,3920,24450,1307,24400,2842,24350,15459,3264,27080,0.7848668600050142,50,0.2036659877799577,0.1311669128507639,2026-05-14 11:30:23
97230,24600,1527,24650,442,24700,857,24750,398,24800,874,24550,3053,24500,4170,24450,1252,24400,2930,24350,15851,4098,27256,0.738597946035358,50,0.2036659877799577,0.112012034047508,2026-05-14 11:39:53
97230,24500,2110,24550,977,24600,739,24650,414,24700,857,24450,991,24400,4046,24350,15831,24300,7365,24250,1335,5097,29568,0.705928169623336,50,0.2044989775050288,0.0335159632034518,2026-05-14 11:49:35
97230,24450,430,24500,1711,24550,1434,24600,442,24650,206,24400,2967,24350,5974,24300,8044,24250,4074,24200,4514,4223,25573,0.7165391327692587,50,0.2049180327868012,0.1160208031908199,2026-05-14 12:17:09
97230,24500,2337,24550,1381,24600,442,24650,336,24700,526,24450,1208,24400,4436,24350,5797,24300,8512,24250,5015,5022,24968,0.665088362787374,50,0.2044989775050288,0.0483819288689328,2026-05-14 12:27:32
97230,24450,2212,24500,1424,24550,1742,24600,516,24650,216,24400,3846,24350,5776,24300,10172,24250,5102,24200,4979,6110,29875,0.6604140614142948,50,0.2049180327868012,0.128736401673597,2026-05-14 12:50:59
97230,24500,2933,24550,1605,24600,432,24650,681,24700,372,24450,3426,24400,4112,24350,6411,24300,12680,24250,5232,6023,31861,0.6820293527608801,50,0.2044989775050288,0.1075295816201288,2026-05-14 13:11:36
97230,24500,886,24550,1325,24600,419,24650,181,24700,672,24450,2688,24400,6415,24350,9071,24300,12801,24250,4899,3483,35874,0.8230048021950802,50,0.2044989775050288,0.0749289178792231,2026-05-14 13:31:23
97230,24450,736,24500,1694,24550,1350,24600,507,24650,346,24400,1448,24350,4689,24300,15337,24250,4894,24200,7778,4633,34146,0.7610562417801489,50,0.2049180327868012,0.0424061383470853,2026-05-14 14:04:28
97230,24400,381,24450,6490,24500,1850,24550,934,24600,5523,24350,5268,24300,21702,24250,5037,24200,8090,24150,5055,15178,45152,0.4968340792308144,50,0.2053388090348232,0.1166725726434894,2026-05-14 14:17:40
97230,24450,1438,24500,1964,24550,1344,24600,5783,24650,837,24400,3192,24350,4887,24300,24058,24250,4560,24200,8331,11366,45028,0.5969074724260388,50,0.2049180327868012,0.0708892244825284,2026-05-14 14:43:20
97230,24700,3156,24750,2735,24800,1669,24850,992,24900,789,24650,4042,24600,1736,24550,698,24500,1961,24450,2024,9341,10461,0.0565599434400279,50,0.2028397565922097,0.3863875346521495,2026-05-14 14:56:41
097230,24700,24,24750,3164,24800,1412,24850,875,24900,641,24650,5515,24600,5640,24550,4205,24500,2181,24450,1297,6116,18838,0.5098180652398373,50,0.20283975659220976,0.2927593162754577,2026-05-14 15:15:41
