date,corrected_sentiment,sentiment_dispersion,contrarian_signal,fear_greed_extreme,contrarian_strength,sentiment_momentum
2026-03-04,-0.0384,0.5859,0.3,1,0.3,0.0
2026-03-05,-0.0619,0.6137,0.5,1,0.5,0.0
2026-03-06,0.0112,0.546,0.1,1,0.1,0.0
2026-03-09,-0.0241,0.5891,0.4,1,0.4,0.0
2026-03-10,-0.0618,0.5895,0.4,1,0.4,0.0
2026-03-11,-0.0618,0.5895,0.4,1,0.4,0.0
2026-03-12,-0.0618,0.5895,0.4,1,0.4,0.0
2026-03-13,-0.0618,0.5895,0.4,1,0.4,0.0
