date,open,high,low,close,volume,change,daily_return,vol_20d,vol_pct,fear_greed,fwd_1d,fwd_5d,fwd_10d,fwd_20d,contrarian_signal,fg_zone
2025-04-01,58700,59600,57900,58800,13841706,1.7301038062283738,0.01730103806228378,34.29507606912935,0.36771300448430494,63.228699551569505,0.0,-0.09013605442176875,-0.0374149659863946,-0.05102040816326525,0.0,greed
2025-04-02,58800,59400,58300,58800,14402297,0.0,0.0,33.97993901792719,0.34977578475336324,65.02242152466368,-0.020408163265306145,-0.09863945578231292,-0.0697278911564626,-0.056122448979591844,0.0,greed
2025-04-03,56900,57800,56900,57600,19508076,-2.0408163265306123,-0.020408163265306145,35.10257109359346,0.42152466367713004,57.847533632286996,-0.02604166666666663,-0.02083333333333337,-0.04340277777777779,-0.05729166666666663,0.0,neutral
2025-04-04,56200,58200,55700,56100,23527139,-2.604166666666667,-0.02604166666666663,36.292143378071046,0.484304932735426,51.5695067264574,-0.05169340463458105,-0.016042780748663055,-0.014260249554367221,-0.0267379679144385,0.0,neutral
2025-04-07,53300,54100,53100,53200,31998883,-5.169340463458111,-0.05169340463458105,41.07573315036565,0.6502242152466368,34.97757847533633,0.005639097744360999,0.0563909774436091,0.041353383458646586,0.026315789473684292,0.0,fear
2025-04-08,55000,55300,53300,53500,25532845,0.5639097744360901,0.005639097744360999,41.1205176284255,0.6547085201793722,34.52914798206278,-0.009345794392523366,0.05794392523364489,0.028037383177569986,0.024299065420560817,0.0,fear
2025-04-09,53300,54300,52900,53000,20576960,-0.9345794392523363,-0.009345794392523366,40.236669976031266,0.6322869955156951,36.77130044843049,0.0641509433962264,0.03207547169811331,0.050943396226415194,0.08679245283018866,0.0,fear
2025-04-10,56600,56700,55000,56400,22948172,6.415094339622642,0.0641509433962264,46.46205080815526,0.8161434977578476,18.38565022421524,-0.021276595744680882,-0.023049645390070927,-0.012411347517730542,0.00886524822695045,0.08071748878923798,extreme_fear
2025-04-11,55600,55700,54800,55200,13930480,-2.127659574468085,-0.021276595744680882,47.18778005407104,0.8251121076233184,17.488789237668158,0.018115942028985588,0.0018115942028984477,0.009057971014492683,0.03985507246376807,0.12556053811659212,extreme_fear
2025-04-14,56300,56700,55800,56200,12852613,1.8115942028985508,0.018115942028985588,43.55933223683072,0.7488789237668162,25.11210762331838,0.007117437722419906,-0.014234875444839812,-0.007117437722419906,0.019572953736654908,0.0,fear
