current_assets,prev_current_assets,cash,short_term_investments,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,depreciation,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_debt,long_term_debt
,,135711000000,70000000000,,,1635041000000,,,23948000000,323856000000,1611093000000,,,5518000000,,,,170140000000,71830000000,-26718000000,,,,2022,,
,,185550000000,77000000000,,,1698527000000,,,35679000000,371650000000,1662848000000,,,3876000000,,,,78842000000,88474000000,-12902000000,,,,2023,,
,,274739000000,77000000000,,,1905018000000,,,35690000000,505699000000,1869328000000,,,3252000000,,,,160279000000,35184000000,76737000000,,,,2024,,
,,65862000000,0,,,2357932000000,,,357750000000,620515000000,2000182000000,,,3467000000,133398000000.0,156017000000.0,,135595000000,76180000000,-577458000000,,,,2025,,
