current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,short_term_investments,long_term_debt,roe,debt_ratio,opm,year
47475785739,44799712618,17454914496,16099123190,3698611184,3951740880,60525209508,48864802988,48013307638,0,51128456543,-5191367455,9396752965,158999740099,102627923034,45748443940,31797313074,113251296159,70830609960,106098878471,76801537530,7152417688,-5970927570,1077420317,-68802895,22630045629,2206369684,1328394876,-4810100382,0.0,0.0,,,,2019
62817954586,47475785739,29618192919,18560580552,4975399413,3698611184,91828661321,29046487205,48864802988,6000000000,40128746173,2498609837,51699915148,219939337665,158999740099,58586370450,45748443940,161352967215,113251296159,146883270338,106098878471,14469696877,7152417688,8853878654,7891717267,12777511272,2190639054,257906602,-2520262334,,0.0,,,,2020
90318935738,62817954586,33798982850,37831063627,7168215109,4975399413,126428830150,50064266575,29046487205,16500000000,60427749526,13975982766,66001080624,259146144182,219939337665,71623461550,58586370450,187522682632,161352967215,173249530478,146883270338,14273152154,14469696877,13737679498,11398827028,4585024805,648254268,33331477,-7203428972,,,,,,2021
137024020095,90318935738,57253261626,50460161074,8776936033,7168215109,184122622814,76266539344,50064266575,21500000000,83864628098,43330251950,100257994716,397698119336,259146144182,106223475243,71623461550,291474644093,187522682632,252246164696,173249530478,39228479397,14273152154,38923200581,29954676293,31630786168,1035577089,0,-9121425060,,,,,,2022
219307995672,137024020095,125334572532,56520972365,14188421514,8776936033,287309488243,82296421377,76266539341,7500000000,90360619465,123704427689,196948868778,441741128,240688824,128360982155,106223475243,395448382404,291474644093,291254657539,252246164696,104193724865,39228479397,24277298875,81546050952,107840961394,1265495714,400595508,-28280436368,,2316242030.0,,,,2023
286027445388,219307995672,90366354391,109745676962,51364428813,14188421514,565143563187,145136758580,82296421377,0,241619489197,229092205925,323524073990,829265503,441741128,179154162732,128360982155,543599699569,395448382404,420894155120,291254657539,122705544449,104193724865,25710251902,107590435967,79124161730,3769628254,7666101,-109655123978,,2572180483.0,,,,2024
545836014029,286027445388,154350192148,165457160456,59773706864,51364428813,771737546894,238368989084,145136758580,0,325937736580,427251110004,445799810314,1473227959,829265503,356728212739,179154162732,1170616760642,543599699569,805096131708,420894155120,365520628934,122705544449,74649235810,289654813287,341046397295,3524349152,89934511,-94461511773,,0.0,,,,2025
