current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
,,65796561159,,,,,,15428184324979.0,,,,,7304015242185.0,1957932161946,8124169082794.0,14777876303720,13639993101625,,,,,,,546854595914.0,503780001348.0,,381637144670,743600049023,0,,,,2016,
,,223205772016,,,,,,16066507597137.0,,,,,7295105646199.0,2464884107225,8771401950938.0,15876686561466,14615065221176,,,,,,,566919510328.0,568598365528.0,,559613521157,898209776500,-2250957163,,,,2017,8675171591.0
,,283668035952,,,,,,16753863685013.0,,,,,7896367362273.0,2772675687942,8857496322740.0,17049079116942,15514901652480,,,,,,,462827002755.0,584892808529.0,,458865848223,769798163382,0,,,,2018,107436666605.0
,,680968998661,,,,,,21094758779809.0,,,,,10888018088222.0,2794304006497,10206740691587.0,19062879818284,17049079116942,,,,,,,150652508829.0,462827002755.0,,223836243277,815763419224,0,,,,2019,730698017350.0
,,1113268736193,,,,,,22340423719351.0,,,,,11843844819721.0,3071078721209,10496578899630.0,22033009980862,19062879818284,,,,,,,237151679441.0,150652508829.0,,362572647516,1386032455822,5183131402,,,,2020,313779957611.0
,,1010167136773,,,,,,,,,,,,4577962993796,,24932680935679,22033009980862,,,,,,,316790902379.0,237151679441.0,,1589074047501,987138835948,1624808828,,,,2021,46600403850.0
,,1269147152210,,,,,,,,,,,,5691336556243,,29332413845888,24932680935679,,,,,,,135651681895.0,316790902379.0,,1007725545174,745721481875,2207110277,,,,2022,119581619618.0
,,1771232861623,,,,,,33443865586475.0,,,,,33443865586475.0,5358573756531,13834230770289.0,29472247894459,29332413845888,,,,,,,,,,-187466317757,1135132806779,-809133812593,,,,2023,210891013575.0
,,1775057447752,,,,,,33930639265588.0,,,,,33930639265588.0,4638428011814,13184076424361.0,29020896860848,29472247894459,,,,,,,,,,-573430173306,1459819142428,-892124523119,,,,2024,392278857392.0
,,1303365061491,,,,,,33503615741472.0,,,,,33503615741472.0,4705088945276,13696908700680.0,28970388263858,29020896860848,,,,,,,,,,246338918347,1318939140965,-1069566064189,,,,2025,762605699279.0
